ftr,fga,ast,starter,ft,stl,fg_pct,ast_pct,ts_pct,fg,threep_pct,date,ortg,trb,pts,orb,blk_pct,team_abbr,drb,tov_pct,ft_pct,usg_pct,fta,sp,stl_pct,efg_pct,tov,trb_pct,threep,threepar,orb_pct,blk,pf,player_name,drtg,inactive,threepa,drb_pct,bpm,pm
.333,9,4,1,3,2,.333,28.7,.484,3,.250,20150403,113,8,10,0,2.5,CHO,8,0.0,1.000,16.0,3,1740.0,3.5,.389,0,13.7,1,.444,0.0,1,0,Marvin Williams,89,0,4,28.2,11.0,-11
.667,9,3,1,4,1,.111,19.7,.258,1,.000,20150403,48,1,6,0,0.0,CHO,1,25.6,.667,25.2,6,1671.0,1.8,.111,4,1.8,0,.222,0.0,0,3,Kemba Walker,104,0,2,3.7,-15.2,-15
.154,13,1,1,1,0,.385,8.9,.432,5,1.000,20150403,72,7,12,0,2.6,CHO,7,17.8,.500,27.3,2,1665.0,0.0,.423,3,12.5,1,.077,0.0,1,1,Gerald Henderson,97,0,1,25.8,-4.2,-15
.000,1,1,1,0,1,.000,9.2,.000,0,0,20150403,40,1,0,0,0.0,CHO,1,0.0,0,2.4,0,1119.0,2.7,.000,0,2.7,0,.000,0.0,0,0,Jeff Taylor,102,0,0,5.5,-4.0,0
.000,6,0,1,0,1,.333,0.0,.333,2,0,20150403,69,1,4,0,0.0,CHO,1,0.0,0,23.1,0,700.0,4.4,.333,0,4.2,0,.000,0.0,0,1,Al Jefferson,96,0,0,8.8,-4.4,-9
.000,11,2,0,0,2,.364,18.5,.409,4,.250,20150403,68,1,9,0,0.0,CHO,1,21.4,0,24.8,0,1525.0,4.0,.409,3,1.9,1,.364,0.0,0,2,Mo Williams,99,0,4,4.0,-5.0,-21
1.167,6,0,0,4,0,.500,0.0,.551,3,0,20150403,101,9,10,4,8.8,CHO,5,18.1,.571,20.4,7,1462.0,0.0,.500,2,18.3,0,.000,15.8,3,1,Bismack Biyombo,95,0,0,21.0,2.1,+1
.000,2,2,0,0,1,.000,18.1,.000,0,0,20150403,69,7,0,4,0.0,CHO,3,33.3,0,7.1,0,1138.0,2.7,.000,1,18.3,0,.000,20.2,0,3,Jason Maxiell,96,0,0,16.2,-3.9,-23
.286,7,1,0,2,1,.571,23.0,.635,4,0,20150403,88,0,10,0,0.0,CHO,0,27.6,1.000,34.2,2,858.0,3.6,.571,3,0.0,0,.000,0.0,0,1,Lance Stephenson,102,0,0,0.0,1.7,+2
.000,4,0,0,0,1,.500,0.0,.625,2,.333,20150403,72,2,5,0,0.0,CHO,2,33.3,0,22.5,0,720.0,4.2,.625,2,8.2,1,.750,0.0,0,0,Brian Roberts,93,0,3,17.0,-0.7,+4
.000,2,0,0,0,0,1.000,0.0,1.000,2,0,20150403,200,3,4,0,0.0,CHO,3,0.0,0,7.5,0,720.0,0.0,1.000,0,12.4,0,.000,0.0,0,0,Noah Vonleh,99,0,0,25.5,4.3,+4
.000,5,1,0,0,0,.000,17.0,.000,0,.000,20150403,29,2,0,2,0.0,CHO,0,0.0,0,22.2,0,606.0,0.0,.000,0,9.8,0,.400,19.0,0,1,P.J. Hairston,109,0,2,0.0,-16.3,-17
.000,5,0,0,0,0,.400,0.0,.400,2,.000,20150403,79,0,4,0,0.0,CHO,0,0.0,0,28.3,0,476.0,0.0,.400,0,0.0,0,.400,0.0,0,0,Troy Daniels,110,0,2,0.0,-4.3,+5
.000,11,10,1,0,3,.182,51.4,.182,2,.000,20150403,74,6,4,0,0.0,IND,6,15.4,0,19.7,0,1717.0,5.3,.182,2,10.4,0,.091,0.0,0,3,George Hill,72,0,1,20.1,-0.1,+11
.250,12,0,1,3,0,.333,0.0,.450,4,.250,20150403,97,6,12,1,5.5,IND,5,7.0,1.000,21.9,3,1700.0,0.0,.375,1,10.5,1,.333,3.6,2,2,C.J. Miles,81,0,4,16.9,-0.6,+9
.000,7,0,1,0,3,.286,0.0,.357,2,.333,20150403,56,3,5,1,0.0,IND,2,30.0,0,16.2,0,1603.0,5.7,.357,3,5.6,1,.429,3.8,0,5,Solomon Hill,76,0,3,7.2,-6.7,-7
.000,5,3,1,0,1,.600,25.0,.600,3,0,20150403,106,4,6,2,0.0,IND,2,28.6,0,15.1,0,1200.0,2.5,.600,2,9.9,0,.000,10.2,0,1,David West,82,0,0,9.6,4.2,+12
.143,7,0,1,0,1,.429,0.0,.403,3,0,20150403,68,7,6,1,0.0,IND,6,21.2,.000,25.9,1,945.0,3.2,.429,2,22.0,0,.000,6.5,0,1,Roy Hibbert,71,0,0,36.6,-6.0,+1
.750,8,1,0,5,0,.250,6.2,.423,2,0,20150403,102,11,9,3,0.0,IND,8,8.6,.833,20.8,6,1450.0,0.0,.250,1,22.5,0,.000,12.7,0,2,Luis Scola,80,0,0,31.8,-2.3,+13
.167,12,1,0,1,0,.500,9.3,.582,6,.667,20150403,84,2,15,1,0.0,IND,1,28.0,.500,34.7,2,1338.0,0.0,.583,5,4.4,2,.250,4.6,0,2,Rodney Stuckey,89,0,3,4.3,-5.0,+26
.375,8,2,0,2,4,.625,20.3,.697,5,.500,20150403,135,1,13,1,0.0,IND,0,9.7,.667,22.6,3,1187.0,10.3,.688,1,2.5,1,.250,5.2,0,0,C.J. Watson,70,0,2,0.0,22.3,+23
.333,3,0,0,0,0,.667,0.0,.581,2,0,20150403,131,6,4,2,7.9,IND,4,0.0,.000,7.6,1,1176.0,0.0,.667,0,15.1,0,.000,10.4,2,1,Ian Mahinmi,78,0,0,19.6,3.6,+17
.400,5,1,0,2,0,.400,13.4,.510,2,0,20150403,113,5,6,3,0.0,IND,2,14.5,1.000,23.5,2,759.0,0.0,.400,1,19.6,0,.000,24.2,0,2,Lavoy Allen,85,0,0,15.2,-0.6,+1
.000,3,0,0,0,1,1.000,0.0,1.500,3,1.000,20150403,110,2,9,0,0.0,IND,2,40.0,0,17.6,0,739.0,4.1,1.500,2,8.0,3,1.000,0.0,0,1,Damjan Rudež,77,0,3,15.6,19.0,+2
.000,2,0,0,0,0,1.000,0.0,1.000,2,0,20150403,200,1,4,0,0.0,IND,1,0.0,0,14.6,0,356.0,0.0,1.000,0,8.3,0,.000,0.0,0,0,Donald Sloan,85,0,0,16.2,11.6,-7
0,0,2,0,0,0,0,69.6,0,0,0,20150403,222,1,0,0,0.0,IND,1,0,0,0.0,0,230.0,0.0,0,0,12.9,0,0,0.0,0,0,Chris Copeland,82,0,0,25.0,18.3,-6
0,0,0,0,0,0,0,0,0,0,0,20150403,0,0,0,0,0,CHO,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Michael Kidd-Gilchrist,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20150403,0,0,0,0,0,CHO,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Cody Zeller,0,1,0,0,0,0
