threepar,trb,trb_pct,date,team_abbr,orb_pct,ft,drb_pct,blk,efg_pct,bpm,ast,tov,blk_pct,fta,pf,drtg,ftr,sp,tov_pct,fg,threep,orb,stl_pct,ast_pct,ortg,ft_pct,fg_pct,threep_pct,pm,ts_pct,inactive,stl,usg_pct,pts,fga,threepa,player_name,starter,drb
.385,6,8.9,20151101,ATL,3.1,0,14.3,2,.615,10.3,6,0,5.6,0,3,103,.000,2096.0,0.0,7,2,1,0.0,30.1,136,0,.538,.400,-3,.615,0,0,17.0,16,13,5,Paul Millsap,1,5
.357,12,17.7,20151101,ATL,6.1,2,28.6,3,.500,0.2,1,3,8.4,2,1,96,.143,2095.0,16.8,7,0,2,0.0,5.0,94,1.000,.500,.000,-3,.538,0,0,23.4,16,14,5,Al Horford,1,10
.250,6,9.6,20151101,ATL,0.0,4,18.6,0,.438,2.1,4,1,0.0,4,2,102,.250,1931.0,5.3,6,2,0,1.6,21.3,106,1.000,.375,.500,-3,.507,0,1,26.6,18,16,4,Jeff Teague,1,6
.444,2,3.3,20151101,ATL,0.0,0,6.4,0,.333,-10.6,2,1,0.0,0,3,110,.000,1878.0,10.0,3,0,0,0.0,9.5,69,0,.333,.000,-2,.333,0,0,14.6,6,9,4,Kyle Korver,1,2
.417,4,7.3,20151101,ATL,0.0,6,14.2,1,.583,16.2,1,0,3.5,6,1,91,.500,1693.0,0.0,6,2,0,5.5,6.3,142,1.000,.500,.400,-6,.683,0,3,23.7,20,12,5,Kent Bazemore,1,4
.222,3,7.3,20151101,ATL,5.0,0,9.4,0,.333,-6.3,3,1,0.0,0,2,103,.000,1271.0,10.0,3,0,1,2.4,22.5,78,0,.333,.000,+8,.333,0,1,21.5,6,9,2,Dennis Schröder,0,2
.200,4,11.7,20151101,ATL,12.1,0,11.4,0,.500,-4.1,0,3,0.0,0,1,94,.000,1056.0,37.5,2,1,2,5.9,0.0,69,0,.400,1.000,0,.500,0,2,20.7,5,5,1,Thabo Sefolosha,0,2
.000,7,20.6,20151101,ATL,18.3,1,22.9,0,.750,8.4,1,1,0.0,2,2,90,.500,1050.0,17.0,3,0,3,5.9,9.5,132,.500,.750,0,+11,.717,0,2,15.3,7,4,0,Tiago Splitter,0,4
.667,3,11.8,20151101,ATL,0.0,0,23.0,0,.000,-9.5,2,0,0.0,0,1,104,.000,784.0,0.0,0,0,0,0.0,19.9,35,0,.000,.000,+5,.000,0,0,10.5,0,3,2,Mike Scott,0,3
.333,1,5.7,20151101,ATL,0.0,0,11.0,0,.000,-16.2,2,1,0.0,0,0,108,.000,546.0,25.0,0,0,0,0.0,28.5,26,0,.000,.000,+3,.000,0,0,20.1,0,3,1,Lamar Patterson,0,1
0,0,0,20151101,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mike Muscala,0,0
0,0,0,20151101,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Shelvin Mack,0,0
0,0,0,20151101,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Justin Holiday,0,0
.643,5,7.1,20151101,CHO,8.3,2,5.9,2,.500,8.9,8,2,4.5,2,2,101,.143,2175.0,11.8,5,4,3,2.8,41.7,115,1.000,.357,.444,+3,.538,0,2,21.6,16,14,9,Nicolas Batum,1,2
.800,5,7.8,20151101,CHO,0.0,0,16.2,3,.750,4.9,1,2,7.4,0,0,102,.000,1978.0,16.7,5,5,0,0.0,5.9,103,0,.500,.625,+4,.750,0,0,16.9,15,10,8,Marvin Williams,1,5
.333,6,9.9,20151101,CHO,6.4,7,13.6,0,.556,7.1,6,2,0.0,8,3,102,.889,1876.0,13.8,4,2,2,3.3,35.6,133,.875,.444,.667,-1,.679,0,2,21.5,17,9,3,Kemba Walker,1,4
.000,10,17.6,20151101,CHO,0.0,0,36.3,2,.417,-2.2,2,0,5.5,0,1,98,.000,1764.0,0.0,5,0,0,0.0,13.7,88,0,.417,0,+2,.417,0,0,18.9,10,12,0,Al Jefferson,1,10
.667,4,8.9,20151101,CHO,0.0,3,18.4,0,.333,-10.6,1,2,0.0,3,1,108,.500,1392.0,21.5,2,0,0,0.0,7.4,80,1.000,.333,.000,+4,.478,0,0,18.6,7,6,4,P.J. Hairston,1,4
.000,5,11.3,20151101,CHO,8.8,0,14.0,1,.500,-4.6,0,1,3.6,0,0,101,.000,1369.0,14.3,3,0,2,2.3,0.0,91,0,.500,0,-15,.500,0,1,14.2,6,6,0,Cody Zeller,0,3
.667,2,4.8,20151101,CHO,4.7,2,5.0,2,.278,1.9,5,1,7.6,2,2,100,.222,1288.0,9.2,2,1,1,2.4,40.6,91,1.000,.222,.167,-2,.354,0,1,23.5,7,9,6,Jeremy Lin,0,1
.250,4,11.2,20151101,CHO,5.4,0,17.4,1,.125,-15.9,2,1,4.4,0,4,98,.000,1104.0,11.1,1,0,1,2.8,17.8,43,0,.125,.000,-2,.125,0,1,22.7,2,8,2,Spencer Hawes,0,3
.364,4,11.3,20151101,CHO,0.0,0,23.4,2,.409,1.2,2,0,8.9,0,1,99,.000,1096.0,0.0,4,1,0,0.0,24.5,87,0,.364,.250,-5,.409,0,0,27.9,9,11,4,Jeremy Lamb,0,4
1.000,0,0.0,20151101,CHO,0.0,0,0.0,0,1.500,8.8,0,0,0.0,0,0,113,.000,359.0,0.0,1,1,0,0.0,0.0,300,0,1.000,1.000,+2,1.500,0,0,7.7,3,1,1,Frank Kaminsky,0,0
0,0,0,20151101,CHO,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Troy Daniels,0,0
0,0,0,20151101,CHO,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tyler Hansbrough,0,0
0,0,0,20151101,CHO,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brian Roberts,0,0
0,0,0,20151101,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Edy Tavares,0,0
0,0,0,20151101,CHO,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Aaron Harrison,0,0
0,0,0,20151101,CHO,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Michael Kidd-Gilchrist,0,0
