ftr,fga,ast,starter,ft,stl,fg_pct,ast_pct,ts_pct,fg,threep_pct,date,ortg,trb,pts,orb,blk_pct,team_abbr,drb,tov_pct,ft_pct,usg_pct,fta,sp,stl_pct,efg_pct,tov,trb_pct,threep,threepar,orb_pct,blk,pf,player_name,drtg,inactive,threepa,drb_pct,bpm,pm
.150,20,1,1,3,5,.400,5.7,.563,8,.385,20160210,100,3,24,0,0.0,GSW,3,8.6,1.000,29.3,3,1996.0,6.8,.525,2,4.3,5,.650,0.0,0,2,Klay Thompson,91,0,13,8.3,5.7,+15
.000,11,1,1,0,0,.273,4.8,.364,3,.286,20160210,68,6,8,1,2.2,GSW,5,15.4,0,17.7,0,1847.0,0.0,.364,2,9.4,2,.636,3.2,1,4,Harrison Barnes,102,0,7,15.0,-10.3,+9
.235,17,9,1,3,1,.529,63.4,.693,9,.500,20160210,142,9,26,5,2.2,GSW,4,9.6,.750,28.8,4,1806.0,1.5,.676,2,14.4,5,.588,16.6,1,1,Stephen Curry,99,0,10,12.3,19.6,+12
1.600,5,3,1,6,1,.200,14.4,.528,1,.500,20160210,91,6,9,0,0.0,GSW,6,26.0,.750,17.0,8,1701.0,1.6,.300,3,10.2,1,.400,0.0,0,3,Draymond Green,99,0,2,19.5,-6.1,+16
.000,2,2,1,0,2,1.000,12.7,1.000,2,0,20160210,210,9,4,0,8.7,GSW,9,0.0,0,3.6,0,1386.0,3.9,1.000,0,18.7,0,.000,0.0,3,2,Andrew Bogut,83,0,0,36.0,9.0,+14
.000,5,3,0,0,0,.200,20.3,.200,1,.000,20160210,60,2,2,0,0.0,GSW,2,16.7,0,12.2,0,1230.0,0.0,.200,1,4.7,0,.400,0.0,0,0,Andre Iguodala,105,0,2,9.0,-10.2,+4
1.250,4,2,0,4,1,.500,17.8,.645,2,0,20160210,106,3,8,0,0.0,GSW,3,24.4,.800,20.0,5,1031.0,2.6,.500,2,8.4,0,.000,0.0,0,2,Shaun Livingston,98,0,0,16.1,-2.8,+4
.100,10,0,0,1,2,.400,0.0,.431,4,.000,20160210,87,5,9,2,4.0,GSW,3,8.7,1.000,28.9,1,992.0,5.4,.400,1,14.5,0,.200,12.1,1,1,Marreese Speights,89,0,2,16.7,-3.2,+6
6.000,1,1,0,5,0,.000,8.3,.687,0,0,20160210,159,5,5,0,0.0,GSW,5,0.0,.833,9.7,6,938.0,0.0,.000,0,15.4,0,.000,0.0,0,1,Brandon Rush,100,0,0,29.5,-0.1,-10
.222,9,0,0,2,0,.556,0.0,.607,5,.000,20160210,118,1,12,0,4.4,GSW,1,0.0,1.000,27.4,2,904.0,0.0,.556,0,3.2,0,.111,0.0,1,4,Leandro Barbosa,101,0,1,6.1,-1.8,-8
.000,3,1,0,0,0,.333,51.5,.333,1,.000,20160210,84,1,2,0,0.0,GSW,1,0.0,0,32.9,0,229.0,0.0,.333,0,12.6,0,.667,0.0,0,0,Ian Clark,102,0,2,24.2,-5.7,-7
0,0,1,0,0,0,0,37.4,0,0,0,20160210,238,0,0,0,0.0,GSW,0,0,0,0.0,0,208.0,0.0,0,0,0.0,0,0,0.0,0,2,Jason Thompson,106,0,0,0.0,-4.3,-8
.000,2,0,0,0,0,.500,0.0,.750,1,1.000,20160210,126,0,3,0,0.0,GSW,0,0.0,0,38.0,0,132.0,0.0,.750,0,0.0,1,.500,0.0,0,0,Kevon Looney,107,0,1,0.0,19.8,-7
.000,11,4,1,0,0,.273,11.1,.364,3,.500,20160210,72,4,8,1,0.0,PHO,3,21.4,0,12.2,0,2732.0,0.0,.364,3,4.2,2,.364,2.0,0,2,P.J. Tucker,113,0,4,6.6,-6.4,-7
.545,11,10,1,4,2,.455,32.8,.550,5,.250,20160210,88,7,15,0,0.0,PHO,7,33.9,.667,19.7,6,2495.0,2.2,.500,7,8.1,1,.364,0.0,0,2,Devin Booker,105,0,4,16.8,-0.7,-7
.105,19,4,1,1,1,.474,18.7,.478,9,.000,20160210,99,8,19,0,2.8,PHO,8,4.8,.500,23.3,2,2137.0,1.3,.474,1,10.8,0,.105,0.0,1,4,Markieff Morris,104,0,2,22.5,1.2,-7
.063,16,2,1,1,0,.563,13.4,.608,9,.333,20160210,110,2,20,1,0.0,PHO,1,10.8,1.000,26.2,1,1680.0,0.0,.594,2,3.4,1,.188,3.3,0,5,Archie Goodwin,113,0,3,3.6,-0.5,-11
.833,6,1,1,3,1,.833,5.5,.793,5,0,20160210,145,10,13,2,0.0,PHO,8,10.9,.600,13.4,5,1640.0,1.6,.833,1,17.6,0,.000,6.8,0,1,Tyson Chandler,104,0,0,29.3,6.2,-3
.333,12,0,0,3,1,.250,0.0,.327,3,.000,20160210,76,8,9,3,10.5,PHO,5,6.8,.750,21.0,4,1679.0,1.6,.250,1,13.7,0,.333,9.9,3,3,Orlando Johnson,99,0,4,17.9,-3.9,+1
.364,11,0,0,4,1,.364,0.0,.549,4,.500,20160210,115,4,14,0,5.0,PHO,4,0.0,1.000,25.8,4,1179.0,2.3,.455,0,9.8,2,.364,0.0,1,3,Mirza Teletović,101,0,4,20.4,5.5,+2
.000,7,0,0,0,1,.429,0.0,.429,3,0,20160210,71,7,6,3,6.9,PHO,4,30.0,0,27.8,0,858.0,3.1,.429,3,23.5,0,.000,19.4,1,3,Alex Len,95,0,0,28.0,-9.5,-8
0,0,0,0,0,0,0,0,0,0,0,20160210,0,0,0,0,0,PHO,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Sonny Weems,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20160210,0,0,0,0,0,PHO,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Ronnie Price,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20160210,0,0,0,0,0,PHO,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Jordan McRae,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20160210,0,0,0,0,0,PHO,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Jon Leuer,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20160210,0,0,0,0,0,PHO,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Brandon Knight,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20160210,0,0,0,0,0,GSW,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Festus Ezeli,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20160210,0,0,0,0,0,GSW,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,James Michael McAdoo,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20160210,0,0,0,0,0,PHO,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Eric Bledsoe,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20160210,0,0,0,0,0,PHO,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,T.J. Warren,0,1,0,0,0,0
