ftr,fga,ast,starter,ft,stl,fg_pct,ast_pct,ts_pct,fg,threep_pct,date,ortg,trb,pts,orb,blk_pct,team_abbr,drb,tov_pct,ft_pct,usg_pct,fta,sp,stl_pct,efg_pct,tov,trb_pct,threep,threepar,orb_pct,blk,pf,player_name,drtg,inactive,threepa,drb_pct,bpm,pm
.929,14,13,1,11,4,.357,66.9,.609,5,.429,20160320,136,6,24,0,0.0,LAC,6,4.8,.846,24.9,13,2131.0,5.3,.464,1,9.1,3,.500,0.0,0,5,Chris Paul,100,0,7,21.3,15.8,0
2.200,5,2,1,6,0,.600,9.7,.610,3,0,20160320,127,9,12,3,2.8,LAC,6,9.2,.545,13.5,11,2056.0,0.0,.600,1,14.2,0,.000,8.2,1,2,DeAndre Jordan,111,0,0,22.1,0.2,+5
.182,11,1,1,2,1,.818,7.8,1.010,9,.800,20160320,171,2,24,1,0.0,LAC,1,7.8,1.000,17.4,2,1899.0,1.5,1.000,1,3.4,4,.455,3.0,0,5,J.J. Redick,113,0,5,4.0,11.2,+5
.333,9,1,1,1,0,.444,10.0,.436,4,.000,20160320,79,2,9,0,0.0,LAC,2,8.8,.333,23.7,3,1224.0,0.0,.444,1,5.3,0,.444,0.0,0,2,Paul Pierce,114,0,4,12.4,-8.6,-2
.000,4,1,1,0,0,.250,11.1,.250,1,.000,20160320,62,0,2,0,6.6,LAC,0,0.0,0,11.7,0,876.0,0.0,.250,0,0.0,0,.500,0.0,1,0,Luc Mbah a Moute,113,0,2,0.0,-4.9,-10
.333,12,3,0,3,1,.417,16.7,.509,5,.200,20160320,87,4,14,0,0.0,LAC,4,17.9,.750,21.4,4,2004.0,1.4,.458,3,6.5,1,.417,0.0,0,4,Jamal Crawford,110,0,5,15.1,-5.7,+6
.545,11,0,0,3,2,.273,0.0,.330,3,.000,20160320,68,3,9,0,0.0,LAC,3,0.0,.500,23.0,6,1520.0,3.7,.273,0,6.4,0,.455,0.0,0,2,Austin Rivers,105,0,5,15.0,-8.2,-3
.000,8,0,0,0,2,.000,0.0,.000,0,.000,20160320,0,3,0,0,0.0,LAC,3,20.0,0,22.4,0,1142.0,5.0,.000,2,8.5,0,.750,0.0,0,3,Wesley Johnson,101,0,6,19.9,-22.7,-9
1.000,2,0,0,2,0,.000,0.0,.347,0,0,20160320,67,4,2,2,21.6,LAC,2,41.0,1.000,15.6,2,800.0,0.0,.000,2,16.2,0,.000,14.1,3,2,Cole Aldrich,100,0,0,18.9,-9.0,-8
.167,6,0,0,1,2,.500,0.0,.699,3,.400,20160320,112,2,9,1,0.0,LAC,1,13.4,1.000,25.4,1,749.0,7.6,.667,1,8.6,2,.833,7.5,0,3,Pablo Prigioni,98,0,5,10.1,10.6,-4
0,0,0,0,0,0,0,0,0,0,0,20160320,0,0,0,0,0,LAC,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,C.J. Wilcox,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20160320,0,0,0,0,0,LAC,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Jeff Green,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20160320,0,0,0,0,0,LAC,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Jeff Ayres,0,0,0,0,0,0
