ftr,fga,ast,starter,ft,stl,fg_pct,ast_pct,ts_pct,fg,threep_pct,date,ortg,trb,pts,orb,blk_pct,team_abbr,drb,tov_pct,ft_pct,usg_pct,fta,sp,stl_pct,efg_pct,tov,trb_pct,threep,threepar,orb_pct,blk,pf,player_name,drtg,inactive,threepa,drb_pct,bpm,pm
.400,5,6,1,0,0,.400,20.3,.425,2,1.000,20160321,100,3,5,0,0.0,MIL,3,14.5,.000,9.7,2,2213.0,0.0,.500,1,4.9,1,.200,0.0,0,1,Jerryd Bayless,110,0,1,8.7,-3.9,+3
.000,17,5,1,0,0,.588,23.4,.618,10,.333,20160321,131,12,21,1,5.0,MIL,11,0.0,0,24.1,0,2206.0,0.0,.618,0,19.8,1,.176,3.8,2,1,Giannis Antetokounmpo,99,0,3,31.9,10.7,+8
.000,7,2,1,0,0,.286,7.2,.357,2,1.000,20160321,77,6,5,2,5.3,MIL,4,22.2,0,13.5,0,2079.0,0.0,.357,2,10.5,1,.143,8.1,2,4,Jabari Parker,105,0,1,12.3,-6.5,+8
.000,15,1,1,0,2,.600,5.1,.600,9,0,20160321,107,10,18,2,5.5,MIL,8,11.8,0,26.4,0,2014.0,3.2,.600,2,18.1,0,.000,8.4,2,1,Greg Monroe,94,0,0,25.4,4.3,+16
.188,16,4,1,3,1,.688,24.6,.779,11,.667,20160321,130,1,27,0,0.0,MIL,1,14.8,1.000,33.2,3,1916.0,1.7,.750,3,1.9,2,.188,0.0,0,5,Khris Middleton,107,0,3,3.3,7.8,+18
1.000,2,3,0,1,0,.500,26.5,.521,1,0,20160321,103,1,3,0,6.4,MIL,1,25.8,.500,14.0,2,866.0,0.0,.500,1,4.2,0,.000,0.0,1,2,John Henson,105,0,0,7.4,1.8,-17
.000,3,0,0,0,0,.667,0.0,.667,2,0,20160321,89,2,4,0,0.0,MIL,2,25.0,0,15.2,0,823.0,0.0,.667,1,8.9,0,.000,0.0,0,2,Miles Plumlee,107,0,0,15.6,-8.5,-11
.000,3,0,0,0,1,.333,0.0,.333,1,.000,20160321,38,1,2,0,0.0,MIL,1,40.0,0,19.2,0,815.0,4.0,.333,2,4.5,0,.333,0.0,0,1,Jared Cunningham,101,0,1,7.9,-13.4,-17
.000,3,1,0,0,0,.333,9.6,.333,1,0,20160321,82,3,2,0,0.0,MIL,3,0.0,0,11.7,0,801.0,0.0,.333,0,13.7,0,.000,0.0,0,1,Damien Inglis,105,0,0,24.0,-5.9,-9
.000,5,1,0,0,1,.400,13.3,.400,2,0,20160321,72,1,4,0,0.0,MIL,1,16.7,0,28.1,0,667.0,4.8,.400,1,5.5,0,.000,0.0,0,2,Tyler Ennis,99,0,0,9.6,-9.3,-4
0,0,0,0,0,0,0,0,0,0,0,20160321,0,0,0,0,0,MIL,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Johnny O'Bryant,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20160321,0,0,0,0,0,MIL,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Steve Novak,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20160321,0,0,0,0,0,MIL,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Michael Carter-Williams,0,0,0,0,0,0
.111,18,3,1,1,1,.333,13.7,.397,6,.182,20160321,90,3,15,2,0.0,DET,1,5.0,.500,23.9,2,2294.0,1.4,.389,1,4.8,2,.611,5.6,0,0,Kentavious Caldwell-Pope,105,0,11,3.7,-0.8,-3
.333,9,4,1,1,1,.889,21.0,1.017,8,1.000,20160321,178,3,21,0,1.9,DET,3,8.8,.333,14.0,3,2225.0,1.5,1.111,1,4.9,4,.444,0.0,1,1,Marcus Morris,102,0,4,11.4,17.9,-2
.417,12,2,1,5,0,.333,8.8,.458,4,.000,20160321,111,6,13,2,0.0,DET,4,0.0,1.000,17.8,5,2193.0,0.0,.333,0,10.0,0,.167,5.8,0,2,Tobias Harris,107,0,2,15.5,-1.3,-4
.063,16,0,1,0,1,.438,0.0,.426,7,0,20160321,103,16,14,6,0.0,DET,10,0.0,.000,22.8,1,1987.0,1.6,.438,0,29.4,0,.000,19.3,0,0,Andre Drummond,101,0,0,42.6,1.0,-3
.375,8,5,1,3,1,.375,28.2,.483,3,.000,20160321,90,5,9,0,0.0,DET,5,24.4,1.000,19.9,3,1705.0,1.9,.375,3,10.7,0,.500,0.0,0,2,Reggie Jackson,102,0,4,24.8,-3.2,-8
.333,3,4,0,1,0,.333,30.1,.436,1,.000,20160321,128,0,3,0,0.0,DET,0,0.0,1.000,8.1,1,1175.0,0.0,.333,0,0.0,0,.667,0.0,0,1,Steve Blake,109,0,2,0.0,-2.8,+9
.000,9,0,0,0,0,.444,0.0,.611,4,.375,20160321,104,1,11,0,4.4,DET,1,10.0,0,28.0,0,985.0,0.0,.611,1,3.7,3,.889,0.0,1,4,Anthony Tolliver,102,0,8,8.6,3.5,+10
.333,6,0,0,2,2,.167,0.0,.291,1,.000,20160321,35,0,4,0,0.0,DET,0,42.1,1.000,34.7,2,943.0,6.9,.167,5,0.0,0,.333,0.0,0,4,Stanley Johnson,93,0,2,0.0,-24.4,+2
.000,4,0,0,0,0,.250,0.0,.250,1,0,20160321,42,5,2,0,4.8,DET,5,20.0,0,15.4,0,893.0,0.0,.250,1,20.4,0,.000,0.0,1,0,Aron Baynes,98,0,0,47.4,-8.0,+4
0,0,0,0,0,0,0,0,0,0,0,20160321,0,0,0,0,0,DET,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Darrun Hilliard,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20160321,0,0,0,0,0,DET,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Reggie Bullock,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20160321,0,0,0,0,0,DET,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Lorenzo Brown,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20160321,0,0,0,0,0,DET,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Joel Anthony,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20160321,0,0,0,0,0,MIL,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,O.J. Mayo,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20160321,0,0,0,0,0,MIL,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Greivis Vásquez,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20160321,0,0,0,0,0,MIL,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Rashad Vaughn,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20160321,0,0,0,0,0,DET,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Spencer Dinwiddie,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20160321,0,0,0,0,0,DET,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Jodie Meeks,0,1,0,0,0,0
