threepar,trb,trb_pct,date,team_abbr,orb_pct,ft,drb_pct,blk,efg_pct,bpm,ast,tov,blk_pct,fta,pf,drtg,ftr,sp,tov_pct,fg,threep,orb,stl_pct,ast_pct,ortg,ft_pct,fg_pct,threep_pct,pm,ts_pct,inactive,stl,usg_pct,pts,fga,threepa,player_name,starter,drb
.133,7,8.9,20161117,MIL,2.5,4,15.4,4,.333,2.9,4,1,8.1,5,4,103,.333,2118.0,5.5,5,0,1,0.0,25.7,90,.800,.333,.000,-20,.407,0,0,23.9,14,15,2,Giannis Antetokounmpo,1,6
.300,8,11.0,20161117,MIL,5.4,0,16.6,1,.275,-6.8,2,2,2.2,0,2,103,.000,1960.0,9.1,5,1,2,1.6,14.2,59,0,.250,.167,-23,.275,0,1,31.2,11,20,6,Jabari Parker,1,6
.900,6,8.3,20161117,MIL,5.5,0,11.2,0,.700,5.7,1,0,0.0,0,2,110,.000,1935.0,0.0,5,4,2,0.0,7.2,137,0,.500,.444,-13,.700,0,0,14.3,14,10,9,Tony Snell,1,4
.143,4,5.7,20161117,MIL,0.0,0,11.5,0,.000,-8.9,9,2,0.0,0,0,107,.000,1890.0,22.2,0,0,0,1.7,49.0,42,0,.000,.000,-19,.000,0,1,13.2,0,7,1,Matthew Dellavedova,1,4
.000,5,8.0,20161117,MIL,3.2,2,12.9,2,.625,2.0,0,1,5.1,2,4,102,.250,1682.0,10.1,5,0,1,1.9,0.0,119,1.000,.625,0,-2,.676,0,1,16.3,12,8,0,John Henson,1,4
.000,2,5.2,20161117,MIL,0.0,0,10.5,0,.500,-12.9,1,2,0.0,0,3,109,.000,1035.0,50.0,1,0,0,0.0,11.0,52,0,.500,0,-13,.500,0,0,10.7,2,2,0,Miles Plumlee,0,2
.143,4,10.9,20161117,MIL,5.4,0,16.4,0,.000,-23.4,1,1,0.0,0,2,107,.000,991.0,12.5,0,0,1,0.0,10.4,13,0,.000,.000,-4,.000,0,0,22.4,0,7,1,Malcolm Brogdon,0,3
.000,10,28.1,20161117,MIL,22.3,3,34.1,0,.455,2.3,0,2,0.0,5,2,98,.455,957.0,13.2,5,0,4,0.0,0.0,92,.600,.455,0,+6,.492,0,0,44.1,13,11,0,Michael Beasley,0,6
1.000,1,2.9,20161117,MIL,5.7,1,0.0,0,1.500,7.5,2,1,0.0,1,0,109,1.000,940.0,41.0,1,1,1,3.4,24.6,150,1.000,1.000,1.000,-14,1.389,0,1,7.2,4,1,1,Jason Terry,0,0
1.000,1,3.7,20161117,MIL,0.0,0,7.5,1,.500,-4.9,0,1,5.9,0,1,108,.000,725.0,25.0,1,1,0,0.0,0.0,68,0,.333,.333,-9,.500,0,0,15.3,3,3,3,Mirza Teletović,0,1
