ftr,fga,ast,starter,ft,stl,fg_pct,ast_pct,ts_pct,fg,threep_pct,date,ortg,trb,pts,orb,blk_pct,team_abbr,drb,tov_pct,ft_pct,usg_pct,fta,sp,stl_pct,efg_pct,tov,trb_pct,threep,threepar,orb_pct,blk,pf,player_name,drtg,inactive,threepa,drb_pct,bpm,pm
.556,18,2,1,7,1,.333,12.0,.446,6,.250,20170116,77,8,20,2,0.0,CLE,6,21.1,.700,33.9,10,2100.0,1.3,.361,6,11.8,1,.222,5.1,0,1,LeBron James,121,0,4,21.1,-4.1,-32
.667,3,0,1,2,0,.667,0.0,.773,2,0,20170116,134,5,6,2,8.5,CLE,3,20.5,1.000,6.9,2,1779.0,0.0,.667,1,8.7,0,.000,6.0,3,2,Tristan Thompson,120,0,0,12.5,0.1,-28
.400,10,0,1,3,3,.500,0.0,.638,5,.400,20170116,117,9,15,0,0.0,CLE,9,7.8,.750,18.0,4,1778.0,4.7,.600,1,15.7,2,.500,0.0,0,0,Iman Shumpert,109,0,5,37.4,9.1,-23
.263,19,2,1,4,1,.316,15.6,.401,6,.200,20170116,66,2,17,0,2.9,CLE,2,22.1,.800,39.0,5,1749.0,1.6,.342,6,3.5,1,.263,0.0,1,3,Kyrie Irving,121,0,5,8.4,-8.0,-12
.167,6,1,1,1,0,.167,10.6,.233,1,.000,20170116,71,3,3,2,0.0,CLE,1,0.0,1.000,16.6,1,970.0,0.0,.167,0,9.6,0,.333,11.0,0,2,Kevin Love,127,0,2,7.6,-8.9,-23
.000,10,0,0,0,0,.400,0.0,.550,4,.375,20170116,108,2,11,0,0.0,CLE,2,0.0,0,15.4,0,1629.0,0.0,.550,0,3.8,3,.800,0.0,0,2,Kyle Korver,127,0,8,9.1,-0.5,-12
.625,8,1,0,3,1,.375,9.8,.539,3,.400,20170116,102,2,11,0,0.0,CLE,2,8.9,.600,22.9,5,1225.0,2.3,.500,1,5.1,2,.625,0.0,0,3,Richard Jefferson,121,0,5,12.1,2.4,-8
.000,1,0,0,0,1,.000,0.0,.000,0,0,20170116,55,2,0,1,0.0,CLE,1,0.0,0,2.5,0,1004.0,2.7,.000,0,6.2,0,.000,5.3,0,5,DeAndre Liggins,120,0,0,7.4,-7.8,-17
.000,3,2,0,0,0,.000,19.2,.000,0,.000,20170116,31,2,0,0,0.0,CLE,2,0.0,0,7.8,0,969.0,0.0,.000,0,6.4,0,.667,0.0,0,0,Channing Frye,125,0,2,15.2,-6.2,-17
.000,4,0,0,0,0,.750,91.1,.167,3,.000,20170116,56,0,6,0,0.0,CLE,0,0.0,0,37.7,0,399.0,0.0,.167,0,0.0,0,.333,0.0,0,1,Kay Felder,129,0,1,0.0,-10.3,-1
0,6,3,0,0,0,.167,0.0,0,1,.000,20170116,0,0,2,0,0.0,CLE,0,0,0,0.0,0,399.0,0.0,0,0,0.0,0,0,0.0,0,1,James Jones,129,0,2,0.0,-9.4,-1
.000,0,0,0,0,0,0,0.0,.750,0,0,20170116,137,0,0,0,0.0,CLE,0,0.0,0,25.1,0,399.0,0.0,.750,0,0.0,0,.250,0.0,0,1,Jordan McRae,129,0,0,0.0,8.8,-1
.667,6,11,1,3,1,.667,37.5,.709,4,0,20170116,182,13,11,2,12.8,GSW,11,0.0,.750,9.1,4,2086.0,1.3,.667,0,19.3,0,.000,7.1,5,1,Draymond Green,79,0,0,28.1,19.8,+43
.294,17,0,1,5,0,.471,0.0,.677,8,.455,20170116,120,4,26,0,2.8,GSW,4,9.4,1.000,27.7,5,1875.0,0.0,.618,2,6.6,5,.647,0.0,1,5,Klay Thompson,93,0,11,11.4,1.2,+41
.100,20,11,1,1,4,.350,48.6,.479,7,.417,20170116,108,2,20,0,0.0,GSW,2,12.6,.500,31.5,2,1855.0,5.9,.475,3,3.3,5,.600,0.0,0,2,Stephen Curry,84,0,12,5.8,8.4,+23
