team_abbr,drb_pct,fta,blk_pct,threepar,tov,player_name,ts_pct,fg,threep_pct,drtg,ast_pct,usg_pct,threepa,fg_pct,ftr,orb,fga,starter,inactive,date,ast,drb,orb_pct,threep,stl,ortg,pf,ft_pct,pts,pm,trb_pct,blk,tov_pct,efg_pct,sp,trb,bpm,ft,stl_pct
HOU,22.3,0,0.0,.750,0,Trevor Ariza,.188,1,.167,102,6.7,10.4,6,.125,.000,1,8,1,0,20170121,2,9,4.1,1,0,68,2,0,3,+24,15.4,0,0.0,.188,2153.0,10,-8.9,0,0.0
HOU,12.7,0,0.0,.579,0,Sam Dekker,.789,12,.545,100,0.0,25.3,11,.632,.000,0,19,1,0,20170121,0,5,0.0,6,2,145,4,0,30,+2,7.9,0,0.0,.789,2101.0,5,10.5,0,2.9
HOU,13.1,12,5.2,.667,6,James Harden,1.015,7,.667,94,45.6,27.9,6,.778,1.333,1,9,1,0,20170121,10,5,4.3,4,3,152,3,.917,29,+21,9.8,2,29.6,1.000,2033.0,6,22.8,11,4.4
HOU,20.6,0,0.0,.500,1,Patrick Beverley,.350,3,.200,99,17.5,16.9,5,.300,.000,0,10,1,0,20170121,4,7,0.0,1,1,85,3,0,7,+1,12.8,0,9.1,.350,1815.0,7,-6.3,0,1.7
HOU,0.0,0,0.0,.167,2,Montrezl Harrell,.500,3,.000,112,19.3,23.9,1,.500,.000,2,6,1,0,20170121,2,0,18.6,0,0,99,1,0,6,-4,7.1,0,25.0,.500,937.0,2,-7.8,0,0.0
HOU,8.9,4,2.9,.688,1,Eric Gordon,.591,7,.273,103,26.8,29.1,11,.438,.250,0,16,0,0,20170121,5,3,0.0,3,1,124,2,1.000,21,+23,5.5,1,5.3,.531,1804.0,3,5.5,4,1.7
HOU,18.6,1,3.6,.667,0,Corey Brewer,.872,2,.500,102,10.8,6.7,2,.667,.333,0,3,0,0,20170121,2,5,0.0,1,0,184,2,1.000,6,+25,11.5,1,0.0,.833,1437.0,5,4.9,1,0.0
HOU,16.3,6,5.3,.000,1,Nenê,.785,4,0,81,0.0,24.6,0,.800,1.200,0,5,0,0,20170121,0,3,0.0,0,3,133,5,.667,12,+26,10.1,1,11.6,.800,983.0,3,8.6,4,9.2
HOU,11.1,2,5.5,.000,0,Clint Capela,.512,2,0,104,17.1,14.2,0,.500,.500,2,4,0,0,20170121,2,2,18.2,0,0,139,3,.500,5,+2,13.8,1,0.0,.500,960.0,4,0.0,1,0.0
HOU,0.0,0,0.0,0,0,Bobby Brown,0,0,0,113,0.0,0.0,0,0,0,0,0,0,0,20170121,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,59.0,0,-6.9,0,0.0
HOU,0.0,0,0.0,0,1,Tyler Ennis,0,0,0,113,0.0,47.4,0,0,0,0,0,0,0,20170121,0,0,0.0,0,0,0,0,0,0,0,0.0,0,100.0,0,59.0,0,-56.0,0,0.0
HOU,90.4,0,0.0,0,0,K.J. McDaniels,0,0,0,-39,0.0,0.0,0,0,0,0,0,0,0,20170121,0,1,0.0,0,1,0,0,0,0,0,56.1,0,0,0,59.0,1,61.1,0,51.1
HOU,0,0,0,0,0,Ryan Anderson,0,0,0,0,0,0,0,0,0,0,0,0,0,20170121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
MEM,11.9,11,10.4,.250,5,Marc Gasol,.644,12,.400,122,7.6,34.6,5,.600,.550,2,20,1,0,20170121,1,3,4.9,2,1,106,4,.545,32,-10,7.6,3,16.8,.650,2191.0,5,7.1,6,1.4
MEM,12.6,0,0.0,.471,1,Mike Conley,.441,6,.375,132,33.7,22.0,8,.353,.000,1,17,1,0,20170121,6,3,2.6,3,0,101,1,0,15,-11,6.4,0,5.6,.441,2076.0,4,-2.3,0,0.0
MEM,14.5,0,0.0,.167,2,JaMychal Green,.583,3,1.000,124,11.3,11.3,1,.500,.000,6,6,1,0,20170121,2,3,17.7,1,2,114,2,0,7,-21,16.5,0,25.0,.583,1804.0,9,-0.7,0,3.3
MEM,11.8,0,0.0,.167,2,Tony Allen,.000,0,.000,113,11.8,13.8,1,.000,.000,2,6,1,0,20170121,2,2,7.2,0,4,28,0,0,0,-4,9.0,0,25.0,.000,1475.0,4,-7.0,0,8.2
MEM,13.3,4,0.0,.364,0,Chandler Parsons,.470,4,.250,116,36.2,24.7,4,.364,.364,0,11,1,0,20170121,4,2,0.0,1,3,113,2,.750,12,-2,5.0,0,0.0,.409,1313.0,2,9.0,3,6.9
MEM,10.5,0,4.6,.833,2,James Ennis III,.250,1,.200,130,0.0,12.2,5,.167,.000,1,6,0,0,20170121,0,2,3.2,1,0,46,1,0,3,-28,6.0,1,25.0,.250,1665.0,3,-13.2,0,0.0
