threepar,trb,trb_pct,date,team_abbr,orb_pct,ft,drb_pct,blk,efg_pct,bpm,ast,tov,blk_pct,fta,pf,drtg,ftr,sp,tov_pct,fg,threep,orb,stl_pct,ast_pct,ortg,ft_pct,fg_pct,threep_pct,pm,ts_pct,inactive,stl,usg_pct,pts,fga,threepa,player_name,starter,drb
.375,9,13.0,20170306,CHI,8.2,12,18.5,1,.469,4.9,4,5,1.7,13,0,115,.813,2341.0,18.7,7,1,3,1.3,19.4,111,.923,.438,.167,-5,.622,0,1,32.2,27,16,6,Jimmy Butler,1,6
.000,4,6.7,20170306,CHI,0.0,2,14.3,1,.471,-1.6,1,0,2.0,2,3,115,.118,2017.0,0.0,8,0,0,1.5,6.3,101,1.000,.471,0,-1,.503,0,1,25.0,18,17,0,Robin Lopez,1,4
.000,4,7.2,20170306,CHI,3.4,0,11.5,1,.500,-5.4,1,0,2.2,0,4,119,.000,1882.0,0.0,2,0,1,0.0,4.9,116,0,.500,0,-2,.500,0,0,6.0,4,4,0,Paul Zipser,1,3
.111,6,13.2,20170306,CHI,8.3,2,18.7,0,.444,-6.4,0,1,0.0,2,1,119,.222,1540.0,9.2,4,0,2,0.0,0.0,99,1.000,.444,.000,-4,.506,0,0,19.9,10,9,1,Bobby Portis,1,4
.500,3,7.3,20170306,CHI,0.0,0,15.5,0,.438,6.9,8,0,0.0,0,0,116,.000,1391.0,0.0,3,1,0,2.2,59.6,118,0,.375,.250,+1,.438,0,1,16.2,7,8,4,Jerian Grant,1,3
.643,3,7.5,20170306,CHI,0.0,0,15.8,0,.500,0.6,3,1,0.0,0,1,120,.000,1363.0,6.7,5,4,0,0.0,27.0,96,0,.357,.444,-11,.500,0,0,31.0,14,14,9,Cameron Payne,0,3
.714,0,0.0,20170306,CHI,0.0,1,0.0,0,.357,-10.0,1,0,0.0,2,3,123,.286,1058.0,0.0,2,1,0,0.0,9.5,82,.500,.286,.200,-7,.381,0,0,21.0,6,7,5,Nikola Mirotić,0,0
.667,2,7.3,20170306,CHI,0.0,0,15.5,0,.000,-17.9,2,1,0.0,0,4,119,.000,929.0,25.0,0,0,0,0.0,18.2,25,0,.000,.000,-16,.000,0,0,12.1,0,3,2,Denzel Valentine,0,2
.000,3,12.1,20170306,CHI,7.6,0,17.1,1,.500,-4.6,0,0,4.8,0,2,115,.000,841.0,0.0,2,0,1,0.0,0.0,108,0,.500,0,-15,.500,0,0,13.4,4,4,0,Cristiano Felício,0,2
0,3,16.7,20170306,CHI,0.0,2,35.5,1,0,-4.0,1,2,6.7,2,1,109,0,608.0,69.4,0,0,0,0.0,13.9,80,1.000,0,0,-5,1.136,0,0,13.3,2,0,0,Michael Carter-Williams,0,3
1.000,0,0.0,20170306,CHI,0.0,0,0.0,0,1.500,9.1,0,0,0.0,0,1,123,.000,304.0,0.0,1,1,0,0.0,0.0,300,0,1.000,1.000,-1,1.500,0,0,9.3,3,1,1,Anthony Morrow,0,0
0,0,0.0,20170306,CHI,0.0,0,0.0,0,0,-8.6,0,0,0.0,0,0,124,0,126.0,0,0,0,0,0.0,0.0,0,0,0,0,-4,0,0,0,0.0,0,0,0,Isaiah Canaan,0,0
0,0,0,20170306,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Joffrey Lauvergne,0,0
.667,5,7.8,20170306,DET,6.6,0,8.9,0,.333,-6.4,1,0,0.0,0,2,105,.000,2166.0,0.0,2,2,2,1.4,3.1,91,0,.222,.333,+3,.333,0,1,11.2,6,9,6,Kentavious Caldwell-Pope,1,3
.167,6,10.5,20170306,DET,3.7,2,16.5,0,.500,-2.8,1,0,0.0,2,2,106,.167,1935.0,0.0,6,0,1,0.0,4.1,120,1.000,.500,.000,+9,.543,0,0,17.9,14,12,2,Jon Leuer,1,5
.385,6,10.9,20170306,DET,3.8,2,17.1,1,.423,-5.3,3,2,2.8,4,3,104,.308,1873.0,11.9,5,1,1,0.0,12.4,91,.500,.385,.200,-5,.440,0,0,24.1,13,13,5,Marcus Morris,1,5
.188,2,3.6,20170306,DET,0.0,2,6.8,0,.750,12.4,6,1,0.0,2,1,109,.125,1869.0,5.6,11,2,0,0.0,33.0,151,1.000,.688,.667,+10,.770,0,0,25.8,26,16,3,Reggie Jackson,1,2
.000,8,15.3,20170306,DET,4.1,4,25.3,1,.625,1.6,0,0,3.0,8,2,98,1.000,1770.0,0.0,5,0,1,1.7,0.0,128,.500,.625,0,+4,.608,0,1,17.6,14,8,0,Andre Drummond,1,7
.200,8,16.1,20170306,DET,4.3,2,26.7,0,.550,6.8,3,0,0.0,2,0,100,.200,1681.0,0.0,5,1,1,1.8,14.1,136,1.000,.500,.500,+14,.597,0,1,17.5,13,10,2,Tobias Harris,0,7
.000,7,21.8,20170306,DET,19.9,0,23.5,1,.667,7.8,2,1,4.8,0,5,94,.000,1088.0,10.0,6,0,3,2.8,18.2,132,0,.667,0,+12,.667,0,1,24.8,12,9,0,Aron Baynes,0,4
.111,2,6.4,20170306,DET,6.8,0,6.0,0,.444,8.9,7,0,0.0,0,1,102,.000,1063.0,0.0,4,0,1,2.9,55.5,124,0,.444,.000,+7,.444,0,1,22.8,8,9,1,Ish Smith,0,1
.333,4,14.2,20170306,DET,0.0,1,26.8,0,.167,-9.5,3,2,0.0,2,3,90,.333,956.0,22.5,1,0,0,6.5,21.5,54,.500,.167,.000,+16,.218,0,2,25.0,3,6,2,Stanley Johnson,0,4
0,0,0,20170306,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beno Udrih,0,0
0,0,0,20170306,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boban Marjanović,0,0
0,0,0,20170306,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Darrun Hilliard,0,0
0,0,0,20170306,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Reggie Bullock,0,0
0,0,0,20170306,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Rajon Rondo,0,0
0,0,0,20170306,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Dwyane Wade,0,0
0,0,0,20170306,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Henry Ellenson,0,0
0,0,0,20170306,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Michael Gbinije,0,0
