ftr,fga,ast,starter,ft,stl,fg_pct,ast_pct,ts_pct,fg,threep_pct,date,ortg,trb,pts,orb,blk_pct,team_abbr,drb,tov_pct,ft_pct,usg_pct,fta,sp,stl_pct,efg_pct,tov,trb_pct,threep,threepar,orb_pct,blk,pf,player_name,drtg,inactive,threepa,drb_pct,bpm,pm
.368,19,6,1,7,0,.474,17.2,.611,9,.333,20170325,134,4,27,0,0.0,WAS,4,8.3,1.000,25.7,7,2584.0,0.0,.526,2,6.2,2,.316,0.0,0,1,Bradley Beal,130,0,6,11.1,-1.3,+13
.381,21,11,1,7,2,.667,45.9,.754,14,1.000,20170325,153,4,37,1,2.6,WAS,3,10.9,.875,34.0,8,2231.0,2.8,.714,3,7.2,2,.095,4.0,1,2,John Wall,123,0,2,9.7,16.3,+12
.500,12,0,1,4,0,.417,0.0,.478,5,.000,20170325,114,6,14,1,2.7,WAS,5,0.0,.667,18.6,6,2168.0,0.0,.417,0,11.1,0,.083,4.2,1,4,Markieff Morris,127,0,1,16.6,-9.0,+6
.000,7,1,1,0,2,.571,3.4,.714,4,.500,20170325,141,6,10,2,5.9,WAS,4,12.5,0,11.3,0,1956.0,3.2,.714,1,12.3,2,.571,9.2,2,3,Otto Porter Jr.,119,0,4,14.7,4.5,+8
.000,8,1,1,0,1,.625,5.5,.625,5,0,20170325,109,5,10,1,0.0,WAS,4,20.0,0,20.2,0,1367.0,2.3,.625,2,14.6,0,.000,6.6,0,2,Marcin Gortat,123,0,0,21.1,-4.0,+4
.375,8,0,0,2,1,.875,0.0,.858,7,.000,20170325,183,7,16,4,0.0,WAS,3,0.0,.667,16.6,3,1548.0,2.0,.875,0,18.1,0,.125,23.3,0,4,Kelly Oubre Jr.,125,0,1,14.0,6.4,+6
.000,4,0,0,0,0,1.000,0.0,1.250,4,1.000,20170325,182,6,10,2,0.0,WAS,4,20.0,0,14.4,0,958.0,0.0,1.250,1,25.1,2,.500,18.8,0,4,Jason Smith,125,0,2,30.1,7.1,+5
1.000,2,5,0,1,2,.000,33.1,.174,0,.000,20170325,93,1,1,0,0.0,WAS,1,25.8,.500,12.0,2,888.0,7.0,.000,1,4.5,0,1.000,0.0,0,1,Brandon Jennings,116,0,2,8.1,0.7,-3
0,0,0,0,0,1,0,0.0,0,0,0,20170325,0,1,0,0,0.0,WAS,1,100.0,0,5.2,0,529.0,5.9,0,1,7.6,0,0,0.0,0,2,Ian Mahinmi,116,0,0,13.6,-8.1,+3
0,1,0,0,0,1,1.000,0.0,0,1,0,20170325,0,0,2,0,0.0,WAS,0,0,0,0.0,0,57.0,0.0,0,0,0.0,0,0,0.0,0,0,Sheldon Mac,133,0,0,0.0,-5.3,+2
0,0,0,0,0,0,0,0.0,0,0,0,20170325,0,0,0,0,0.0,WAS,0,0,0,0.0,0,57.0,0.0,0,0,0.0,0,0,0.0,0,0,Daniel Ochefu,133,0,0,0.0,-4.5,+2
.000,0,0,0,0,0,0,0.0,1.000,0,0,20170325,200,0,0,0,0.0,WAS,0,0.0,0,48.4,0,57.0,54.4,1.000,0,0.0,0,.000,0.0,0,0,Tomáš Satoranský,13,0,0,0.0,101.8,+2
0,0,0,0,0,0,0,0,0,0,0,20170325,0,0,0,0,0,WAS,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Trey Burke,0,0,0,0,0,0
.286,21,8,1,4,0,.476,32.4,.508,10,.000,20170325,113,11,24,3,1.8,CLE,8,11.3,.667,29.2,6,2435.0,0.0,.476,3,18.1,0,.190,8.9,1,2,LeBron James,137,0,4,29.6,-1.5,-11
.304,23,4,1,6,1,.348,18.9,.441,8,.143,20170325,99,2,23,1,4.4,CLE,1,7.1,.857,36.5,7,2051.0,1.5,.370,2,3.9,1,.304,3.5,2,3,Kyrie Irving,137,0,7,4.4,-5.9,-12
.364,11,0,1,4,1,.455,0.0,.666,5,.500,20170325,123,7,17,2,2.3,CLE,5,13.6,1.000,20.0,4,1967.0,1.6,.591,2,14.2,3,.545,7.3,1,3,Kevin Love,134,0,6,22.9,-2.1,-10
.000,6,2,1,0,0,.333,8.1,.500,2,.333,20170325,120,1,6,0,0.0,CLE,1,0.0,0,8.5,0,1885.0,0.0,.500,0,2.1,2,1.000,0.0,0,2,J.R. Smith,143,0,6,4.8,-6.2,-14
.500,4,4,1,1,2,1.000,21.1,.922,4,0,20170325,150,4,9,4,2.8,CLE,0,29.1,.500,11.4,2,1613.0,3.8,1.000,2,9.9,0,.000,17.9,1,1,Tristan Thompson,134,0,0,0.0,8.3,-15
.167,6,0,0,1,0,.500,0.0,.776,3,.500,20170325,156,2,10,0,0.0,CLE,2,0.0,1.000,13.8,1,1243.0,0.0,.750,0,6.4,3,1.000,0.0,0,3,Kyle Korver,141,0,6,14.5,-1.2,-3
.500,4,4,0,2,1,.750,29.2,.922,3,1.000,20170325,122,0,9,0,0.0,CLE,0,38.1,1.000,17.9,2,1172.0,2.6,.875,3,0.0,1,.250,0.0,0,3,Deron Williams,138,0,1,0.0,-0.5,+2
1.000,5,2,0,3,1,.600,16.1,.694,3,.500,20170325,152,1,10,0,0.0,CLE,1,0.0,.600,17.7,5,1083.0,2.9,.700,0,3.7,1,.400,0.0,0,1,Richard Jefferson,136,0,2,8.3,6.0,0
.000,2,0,0,0,0,1.000,0.0,1.250,2,1.000,20170325,250,2,5,0,11.9,CLE,2,0.0,0,14.1,0,379.0,0.0,1.250,0,21.1,1,.500,0.0,1,0,Channing Frye,126,0,1,47.5,24.3,+3
0,1,0,0,0,0,1.000,0.0,0,1,0,20170325,0,0,2,0,0.0,CLE,0,100.0,0,18.7,0,143.0,0.0,0,0,0.0,0,0,0.0,0,0,James Jones,144,0,0,0.0,-29.9,0
