ftr,fga,ast,starter,ft,stl,fg_pct,ast_pct,ts_pct,fg,threep_pct,date,ortg,trb,pts,orb,blk_pct,team_abbr,drb,tov_pct,ft_pct,usg_pct,fta,sp,stl_pct,efg_pct,tov,trb_pct,threep,threepar,orb_pct,blk,pf,player_name,drtg,inactive,threepa,drb_pct,bpm,pm
.000,5,8,1,0,1,.200,31.3,.200,1,.000,20171125,81,2,2,0,0.0,TOR,2,37.5,0,13.3,0,1661.0,1.9,.200,3,4.4,0,.200,0.0,0,2,DeMar DeRozan,89,0,1,8.3,-5.9,+20
.444,9,6,1,3,1,.444,27.0,.697,4,.571,20171125,117,13,15,1,0.0,TOR,12,27.1,.750,24.9,4,1643.0,1.9,.667,4,29.2,4,.778,4.9,0,1,Kyle Lowry,77,0,7,50.1,9.0,+21
.222,9,2,1,2,0,.778,16.5,.810,7,.000,20171125,121,8,16,4,0.0,TOR,4,28.8,1.000,32.1,2,1198.0,0.0,.778,4,24.7,0,.111,26.7,0,2,Jonas Valančiūnas,89,0,1,22.9,4.6,+10
.182,11,0,1,2,0,.455,0.0,.505,5,.000,20171125,106,4,12,2,10.4,TOR,2,7.8,1.000,30.8,2,1157.0,0.0,.455,1,12.8,0,.182,13.8,2,0,Serge Ibaka,85,0,2,11.9,-3.0,+12
.000,4,2,1,0,2,1.000,15.8,1.375,4,1.000,20171125,263,1,11,0,0.0,TOR,1,0.0,0,10.6,0,1045.0,6.0,1.375,0,3.5,3,.750,0.0,0,3,OG Anunoby,80,0,3,6.6,25.6,+17
.000,9,4,0,0,2,.667,16.9,.722,6,.250,20171125,140,4,13,0,3.2,TOR,4,10.0,0,14.9,0,1857.0,3.4,.722,1,8.0,1,.444,0.0,1,0,Pascal Siakam,82,0,4,14.8,11.6,+26
.000,13,1,0,0,3,.538,4.5,.654,7,.500,20171125,114,2,17,1,0.0,TOR,1,13.3,0,22.6,0,1835.0,5.1,.654,2,4.0,3,.462,4.4,0,3,Norman Powell,83,0,6,3.7,5.1,+17
.000,9,0,0,0,0,.778,0.0,.778,7,0,20171125,141,7,14,3,0.0,TOR,4,10.0,0,24.0,0,1156.0,0.0,.778,1,22.4,0,.000,20.8,0,3,Jakob Poeltl,89,0,0,23.7,3.2,+21
.000,4,2,0,0,0,.250,12.1,.250,1,.000,20171125,89,3,2,0,0.0,TOR,3,0.0,0,10.1,0,1099.0,0.0,.250,0,10.1,0,.250,0.0,0,2,Lorenzo Brown,90,0,1,18.7,-7.3,+7
.167,6,5,0,0,1,.333,37.3,.388,2,.333,20171125,121,0,5,0,0.0,TOR,0,0.0,.000,18.5,1,965.0,3.2,.417,0,0.0,1,.500,0.0,0,1,Fred VanVleet,88,0,3,0.0,4.1,+21
