threepar,trb,trb_pct,date,team_abbr,orb_pct,ft,drb_pct,blk,efg_pct,bpm,ast,tov,blk_pct,fta,pf,drtg,ftr,sp,tov_pct,fg,threep,orb,stl_pct,ast_pct,ortg,ft_pct,fg_pct,threep_pct,pm,ts_pct,inactive,stl,usg_pct,pts,fga,threepa,player_name,starter,drb
.357,4,6.4,20181202,MEM,0.0,2,14.4,2,.357,-6.3,3,4,4.8,3,4,103,.214,2284.0,20.7,4,2,0,1.3,13.5,67,.667,.286,.400,-12,.392,0,1,23.6,12,14,5,Marc Gasol,1,4
.353,2,3.6,20181202,MEM,0.0,6,8.2,1,.441,6.0,5,1,2.8,7,1,105,.412,2009.0,4.7,6,3,0,1.5,29.4,106,.857,.353,.500,-7,.523,0,1,29.3,21,17,6,Mike Conley,1,2
.667,4,7.8,20181202,MEM,0.0,1,17.5,0,.611,1.5,1,0,0.0,2,1,110,.222,1881.0,0.0,4,3,0,0.0,5.7,115,.500,.444,.500,-9,.607,0,0,14.7,12,9,6,Garrett Temple,1,4
.000,3,6.6,20181202,MEM,0.0,1,14.9,1,1.000,4.1,5,1,3.3,1,3,107,.500,1655.0,29.1,2,0,0,0.0,29.5,166,1.000,1.000,0,-6,1.025,0,0,5.8,5,2,0,Kyle Anderson,1,3
.400,3,7.8,20181202,MEM,4.7,6,11.7,3,.550,5.9,0,2,11.8,6,5,95,.600,1405.0,13.7,5,1,1,2.1,0.0,115,1.000,.500,.250,-6,.672,0,1,29.1,17,10,4,Jaren Jackson Jr.,1,2
.400,7,16.8,20181202,MEM,8.6,0,27.0,0,.700,4.5,0,3,0.0,2,4,93,.200,1521.0,21.6,6,2,2,7.7,0.0,93,.000,.600,.500,+6,.643,0,4,25.5,14,10,4,JaMychal Green,0,5
.000,2,5.9,20181202,MEM,0.0,2,13.2,0,.500,-6.4,0,2,0.0,2,1,111,.200,1244.0,15.5,5,0,0,0.0,0.0,86,1.000,.500,0,+4,.551,0,0,28.9,12,10,0,MarShon Brooks,0,2
.400,1,2.9,20181202,MEM,0.0,0,6.6,0,.200,-8.0,4,0,0.0,0,2,111,.000,1244.0,0.0,1,0,0,0.0,30.2,74,0,.200,.000,-13,.200,0,0,11.2,2,5,2,Shelvin Mack,0,1
.500,8,32.6,20181202,MEM,0.0,0,73.6,0,.000,-10.7,0,1,0.0,0,0,107,.000,894.0,33.3,0,0,0,0.0,0.0,0,0,.000,.000,+2,.000,0,0,9.4,0,2,1,Omri Casspi,0,8
0,1,13.9,20181202,MEM,0.0,0,31.3,0,0,-6.3,1,0,0.0,0,3,108,0,263.0,0,0,0,0,0.0,33.2,233,0,0,0,+1,0,0,0,0.0,0,0,0,Ivan Rabb,0,1
0,0,0,20181202,MEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D.J. Stephens,0,0
0,0,0,20181202,MEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wayne Selden,0,0
0,0,0,20181202,MEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jevon Carter,0,0
.154,14,22.5,20181202,PHI,0.0,7,40.4,1,.308,-2.7,3,4,2.5,8,3,92,.615,2266.0,19.5,4,0,0,1.3,12.3,80,.875,.308,.000,+13,.454,0,1,25.3,15,13,2,Joel Embiid,1,14
.000,12,19.7,20181202,PHI,7.4,3,29.4,0,.800,8.1,6,3,0.0,8,4,92,.800,2225.0,18.2,8,0,2,2.6,30.3,124,.375,.800,0,+5,.703,0,2,20.7,19,10,0,Ben Simmons,1,10
.235,3,5.5,20181202,PHI,0.0,7,10.0,1,.412,-4.6,2,3,2.9,8,3,97,.471,1972.0,12.8,7,0,0,0.0,11.3,92,.875,.412,.000,+7,.512,0,0,33.3,21,17,4,Jimmy Butler,1,3
.353,3,6.0,20181202,PHI,0.0,3,10.8,0,.618,2.1,0,1,0.0,3,5,100,.176,1815.0,5.2,9,3,0,0.0,0.0,114,1.000,.529,.500,+9,.655,0,0,29.7,24,17,6,J.J. Redick,1,3
.750,7,15.4,20181202,PHI,5.0,2,23.7,0,.750,13.0,5,0,0.0,2,0,99,.500,1660.0,0.0,2,2,1,0.0,26.7,177,1.000,.500,.667,-5,.820,0,0,8.2,8,4,3,Mike Muscala,1,6
.000,3,5.8,20181202,PHI,0.0,0,10.5,0,.750,-1.6,3,1,0.0,0,2,100,.000,1875.0,20.0,3,0,0,0.0,14.7,127,0,.750,0,+16,.750,0,0,7.4,6,4,0,T.J. McConnell,0,3
1.000,0,0.0,20181202,PHI,0.0,1,0.0,0,.375,-12.8,0,3,0.0,1,1,101,.250,1065.0,40.3,1,1,0,0.0,0.0,51,1.000,.250,.250,-1,.450,0,0,19.5,4,4,4,Landry Shamet,0,0
.750,1,4.0,20181202,PHI,0.0,0,7.2,0,.750,17.6,2,0,0.0,0,0,86,.000,908.0,0.0,2,2,0,6.4,21.4,148,0,.500,.667,+1,.750,0,2,12.3,6,4,3,Furkan Korkmaz,0,1
.000,1,5.9,20181202,PHI,0.0,0,10.7,0,.000,-10.9,1,1,0.0,0,2,100,.000,614.0,50.0,0,0,0,0.0,13.0,27,0,.000,0,-5,.000,0,0,9.1,0,1,0,Amir Johnson,0,1
0,0,0,20181202,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Shake Milton,0,0
0,0,0,20181202,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Demetrius Jackson,0,0
0,0,0,20181202,MEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Dillon Brooks,0,0
0,0,0,20181202,MEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Chandler Parsons,0,0
0,0,0,20181202,MEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Yuta Watanabe,0,0
0,0,0,20181202,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Jonah Bolden,0,0
0,0,0,20181202,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Wilson Chandler,0,0
0,0,0,20181202,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Markelle Fultz,0,0
0,0,0,20181202,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Justin Patton,0,0
0,0,0,20181202,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Zhaire Smith,0,0
