threepar,trb,trb_pct,date,team_abbr,orb_pct,ft,drb_pct,blk,efg_pct,bpm,ast,tov,blk_pct,fta,pf,drtg,ftr,sp,tov_pct,fg,threep,orb,stl_pct,ast_pct,ortg,ft_pct,fg_pct,threep_pct,pm,ts_pct,inactive,stl,usg_pct,pts,fga,threepa,player_name,starter,drb
.857,7,10.0,20181223,MEM,0.0,0,21.0,2,1.000,5.9,1,1,5.3,0,1,105,.000,2396.0,12.5,5,4,0,1.3,3.3,159,0,.714,.667,-4,1.000,0,1,9.1,14,7,6,Garrett Temple,1,7
.462,1,1.6,20181223,MEM,0.0,0,3.4,0,.654,6.5,8,1,0.0,0,0,108,.000,2108.0,7.1,7,3,0,2.9,33.7,137,0,.538,.500,+8,.654,0,2,18.2,17,13,6,Mike Conley,1,1
.250,9,16.3,20181223,MEM,3.5,1,30.4,1,.500,6.1,8,1,3.4,3,2,108,.188,1892.0,5.5,7,2,1,0.0,38.9,114,.333,.438,.500,+3,.491,0,0,26.5,17,16,4,Marc Gasol,1,8
.095,9,16.8,20181223,MEM,14.3,4,19.6,0,.548,-3.1,1,3,0.0,5,4,111,.238,1837.0,11.5,11,1,4,0.0,6.3,110,.800,.524,.500,+4,.582,0,0,39.1,27,21,2,Jaren Jackson Jr.,1,5
.000,6,14.4,20181223,MEM,4.6,0,25.2,1,.200,-7.1,1,0,4.5,0,5,97,.000,1427.0,0.0,1,0,1,4.3,5.0,68,0,.200,0,+4,.200,0,2,9.6,2,5,0,Kyle Anderson,1,5
.333,5,12.9,20181223,MEM,0.0,2,27.0,1,.833,10.8,2,1,4.8,2,4,96,.333,1333.0,12.7,4,2,0,4.6,13.0,152,1.000,.667,1.000,+6,.872,0,2,16.2,12,6,2,JaMychal Green,0,5
.444,2,6.3,20181223,MEM,6.1,2,6.7,1,.556,2.1,0,0,5.9,4,0,109,.444,1081.0,0.0,4,2,1,0.0,0.0,116,.500,.444,.500,+2,.558,0,0,27.3,12,9,4,Wayne Selden,0,1
.000,0,0.0,20181223,MEM,0.0,0,0.0,0,.000,-12.4,0,0,0.0,0,0,101,.000,978.0,0.0,0,0,0,6.3,0.0,0,0,.000,0,+10,.000,0,2,11.2,0,4,0,Shelvin Mack,0,0
.400,0,0.0,20181223,MEM,0.0,0,0.0,0,.200,-23.5,2,2,0.0,0,2,114,.000,744.0,28.6,1,0,0,0.0,20.3,46,0,.200,.000,+6,.200,0,0,25.8,2,5,2,Dillon Brooks,0,0
.000,4,22.7,20181223,MEM,21.7,0,23.8,1,.500,0.9,1,0,10.6,0,2,102,.000,604.0,0.0,2,0,2,0.0,14.7,130,0,.500,0,+1,.500,0,0,18.1,4,4,0,Ivan Rabb,0,2
0,0,0,20181223,MEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yuta Watanabe,0,0
0,0,0,20181223,MEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jevon Carter,0,0
.200,4,6.1,20181223,LAL,0.0,3,11.6,0,.567,-5.0,3,2,0.0,6,2,121,.400,2249.0,10.2,8,1,0,0.0,14.4,102,.500,.533,.333,-2,.567,0,0,25.0,20,15,3,Brandon Ingram,1,4
.750,6,9.2,20181223,LAL,0.0,3,17.6,0,.500,-5.3,6,3,0.0,6,3,119,.750,2231.0,22.0,3,2,0,0.0,23.4,95,.500,.375,.333,-8,.517,0,0,17.5,11,8,6,Kyle Kuzma,1,6
.357,14,22.5,20181223,LAL,3.4,4,39.8,1,.643,8.0,7,4,2.1,4,0,109,.286,2137.0,20.2,8,2,1,1.4,36.0,119,1.000,.571,.400,-3,.698,0,1,26.5,22,14,5,LeBron James,1,13
.000,4,7.0,20181223,LAL,3.6,3,10.0,4,.667,2.0,1,1,9.1,4,3,112,.333,1973.0,6.8,8,0,1,0.0,5.8,127,.750,.667,0,+13,.690,0,0,21.4,19,12,0,Ivica Zubac,1,3
