ftr,fga,ast,starter,ft,stl,fg_pct,ast_pct,ts_pct,fg,threep_pct,date,ortg,trb,pts,orb,blk_pct,team_abbr,drb,tov_pct,ft_pct,usg_pct,fta,sp,stl_pct,efg_pct,tov,trb_pct,threep,threepar,orb_pct,blk,pf,player_name,drtg,inactive,threepa,drb_pct,bpm,pm
.167,18,3,1,1,2,.500,12.4,.543,9,.500,20190106,121,9,21,2,0.0,IND,7,0.0,.333,21.4,3,2222.0,2.6,.556,0,13.7,2,.222,5.8,0,2,Bojan Bogdanović,119,0,4,22.7,5.1,-12
.333,15,3,1,4,0,.400,12.1,.465,6,.000,20190106,97,2,16,1,0.0,IND,1,10.4,.800,23.0,5,2058.0,0.0,.400,2,3.3,0,.267,3.1,0,3,Victor Oladipo,129,0,4,3.5,-7.6,-15
.000,10,1,1,0,3,.700,4.5,.700,7,.000,20190106,115,9,14,5,0.0,IND,4,23.1,0,16.4,0,1957.0,4.4,.700,3,15.6,0,.200,16.4,0,4,Thaddeus Young,116,0,2,14.7,1.8,-11
.286,14,6,1,4,0,.429,28.0,.508,6,0,20190106,110,11,16,2,0.0,IND,9,11.3,1.000,23.8,4,1838.0,0.0,.429,2,20.3,0,.000,7.0,0,2,Domantas Sabonis,123,0,0,35.3,3.6,-10
.000,8,5,1,0,1,.625,29.7,.688,5,1.000,20190106,133,0,11,0,0.0,IND,0,11.1,0,15.2,0,1461.0,2.0,.688,1,0.0,1,.125,0.0,0,0,Darren Collison,125,0,1,0.0,4.3,-8
.182,11,0,0,2,2,.273,0.0,.379,3,.500,20190106,77,4,9,0,0.0,IND,4,7.8,1.000,19.2,2,1657.0,3.5,.318,1,8.2,1,.182,0.0,0,2,Cory Joseph,118,0,2,17.4,-7.6,-12
.000,8,3,0,3,0,.375,20.6,1.000,3,.000,20190106,84,7,9,2,0.0,IND,5,66.7,.750,7.1,4,1042.0,0.0,1.000,1,0.0,0,.000,0.0,4,2,Doug McDermott,130,0,1,0.0,-8.4,-6
.500,1,3,0,0,0,1.000,23.9,.461,1,0,20190106,106,0,2,0,21.3,IND,0,9.3,0,25.5,0,1042.0,0.0,.375,2,22.8,0,.125,12.3,0,3,Kyle O'Quinn,106,0,0,34.5,8.4,-6
.250,8,0,0,1,0,.250,0.0,.282,2,.000,20190106,50,1,5,0,0.0,IND,1,18.4,.500,29.3,2,915.0,0.0,.250,2,3.7,0,.375,0.0,0,1,Tyreke Evans,128,0,3,7.9,-22.4,0
0,1,0,0,0,0,1.000,0.0,0,1,0,20190106,0,1,2,0,0.0,IND,1,0,0,0.0,0,104.0,0.0,0,0,0.0,0,0,0.0,0,0,Aaron Holiday,130,0,0,0.0,-9.9,0
