ftr,fga,ast,starter,ft,stl,fg_pct,ast_pct,ts_pct,fg,threep_pct,date,ortg,trb,pts,orb,blk_pct,team_abbr,drb,tov_pct,ft_pct,usg_pct,fta,sp,stl_pct,efg_pct,tov,trb_pct,threep,threepar,orb_pct,blk,pf,player_name,drtg,inactive,threepa,drb_pct,bpm,pm
.182,11,1,1,1,0,.455,4.3,.463,5,.000,20190116,93,1,11,0,0.0,CLE,1,7.8,.500,19.2,2,1815.0,0.0,.455,1,1.9,0,.091,0.0,0,2,Collin Sexton,143,0,1,4.4,-11.8,-21
.400,15,2,1,6,0,.467,12.5,.567,7,.000,20190116,132,4,20,2,0.0,CLE,2,0.0,1.000,32.5,6,1470.0,0.0,.467,0,9.6,0,.133,8.5,0,1,Rodney Hood,142,0,2,10.9,2.2,-16
.000,7,0,1,0,0,.429,0.0,.500,3,1.000,20190116,97,3,7,1,3.4,CLE,2,12.5,0,15.2,0,1426.0,0.0,.500,1,7.4,1,.143,4.4,1,1,Alec Burks,139,0,1,11.2,-7.5,-17
.000,6,1,1,0,0,.333,5.5,.333,2,0,20190116,99,8,4,2,0.0,CLE,6,0.0,0,12.6,0,1288.0,0.0,.333,0,21.8,0,.000,9.7,0,1,Tristan Thompson,138,0,0,37.3,-8.1,-20
.000,6,0,1,0,0,.333,0.0,.333,2,.000,20190116,61,1,4,0,0.0,CLE,1,14.3,0,19.6,0,966.0,0.0,.333,1,3.6,0,.333,0.0,0,3,Cedi Osman,142,0,2,8.3,-20.4,-15
.118,17,3,0,2,0,.529,16.4,.615,9,.500,20190116,135,0,22,0,0.0,CLE,0,0.0,1.000,27.7,2,1750.0,0.0,.588,0,0.0,2,.235,0.0,0,3,Jordan Clarkson,144,0,4,0.0,2.4,-4
.000,8,1,0,0,0,.500,4.4,.500,4,.000,20190116,111,10,8,0,5.6,CLE,10,0.0,0,12.6,0,1713.0,0.0,.500,0,20.5,0,.250,0.0,2,2,Jaron Blossomgame,131,0,2,46.7,-1.8,-1
.875,8,1,0,6,0,.625,5.0,.722,5,0,20190116,162,8,16,3,6.0,CLE,5,0.0,.857,18.8,7,1592.0,0.0,.625,0,17.6,0,.000,11.8,2,2,Ante Žižić,134,0,0,25.1,6.1,+3
.000,8,2,0,0,0,.625,13.9,.750,5,.667,20190116,164,3,12,2,0.0,CLE,1,0.0,0,17.5,0,1238.0,0.0,.750,0,8.5,2,.375,10.1,0,2,Cameron Payne,143,0,3,6.5,5.9,+7
.222,9,6,0,1,0,.333,40.4,.405,3,.250,20190116,118,3,8,2,0.0,CLE,1,0.0,.500,23.4,2,1142.0,0.0,.389,0,9.2,1,.444,11.0,0,1,Matthew Dellavedova,143,0,4,7.0,0.6,-1
0,0,0,0,0,0,0,0,0,0,0,20190116,0,0,0,0,0,CLE,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Channing Frye,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20190116,0,0,0,0,0,CLE,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,David Nwaba,0,0,0,0,0,0
.368,19,6,1,7,0,.579,29.5,.747,11,.667,20190116,159,2,33,0,0.0,POR,2,0.0,1.000,32.1,7,1920.0,0.0,.684,0,3.7,4,.316,0.0,0,2,Damian Lillard,126,0,6,6.5,11.4,+23
.308,13,1,1,3,0,.538,4.6,.644,7,.500,20190116,135,3,19,1,0.0,POR,2,0.0,.750,23.4,4,1762.0,0.0,.615,0,6.0,2,.308,4.5,0,1,CJ McCollum,126,0,4,7.1,-2.0,+24
.000,7,1,1,0,0,.857,4.6,1.000,6,.667,20190116,149,9,14,2,0.0,POR,7,22.2,0,14.8,0,1700.0,0.0,1.000,2,18.6,2,.429,9.4,0,0,Al-Farouq Aminu,120,0,3,25.8,4.0,+26
.667,6,10,1,4,0,.500,40.4,.644,3,0,20190116,159,10,10,2,11.1,POR,8,11.4,1.000,14.4,4,1700.0,0.0,.500,1,20.7,0,.000,9.4,5,3,Jusuf Nurkić,109,0,0,29.5,17.3,+26
