trb_pct,blk_pct,threep_pct,fg_pct,ast_pct,team_abbr,ts_pct,orb_pct,sp,orb,threepar,efg_pct,stl,pm,blk,fga,drb_pct,tov_pct,fta,player_name,usg_pct,pts,date,bpm,drtg,ft_pct,ftr,drb,ast,pf,stl_pct,ortg,fg,ft,trb,inactive,threep,threepa,tov,starter
13.2,2.4,.333,.393,16.4,HOU,.578,2.8,2218.0,1,.536,.482,1,+1,1,28,22.9,10.6,13,James Harden,45.4,39,20190409,6.9,112,.923,.464,9,3,4,1.4,111,11,12,10,0,5,15,4,1
13.5,7.2,0,.800,14.4,HOU,.765,8.4,2182.0,3,.000,.800,0,-4,3,10,18.1,20.3,4,Clint Capela,18.1,18,20190409,5.1,116,.500,.400,7,3,2,0.0,131,8,2,10,0,0,0,3,1
11.5,0.0,.556,.600,33.2,HOU,.777,3.0,2050.0,1,.600,.767,1,+4,0,15,19.3,6.1,1,Chris Paul,21.4,24,20190409,12.8,115,1.000,.067,7,6,2,1.5,156,9,1,8,0,5,9,1,1
1.6,2.9,.222,.250,14.2,HOU,.333,0.0,1824.0,0,.750,.333,1,-12,1,12,3.1,7.7,0,Eric Gordon,19.0,8,20190409,-6.3,122,0,.000,1,3,2,1.6,77,3,0,1,0,2,9,1,1
9.7,5.8,.000,.250,0.0,HOU,.410,10.1,1818.0,3,.750,.250,1,-3,2,4,9.3,17.0,2,P.J. Tucker,8.6,4,20190409,-3.6,117,1.000,.500,3,0,4,1.7,100,1,2,6,0,0,3,1,1
4.1,0.0,.000,.000,5.3,HOU,.000,0.0,1431.0,0,1.000,.000,1,+2,0,4,7.9,0.0,0,Danuel House Jr.,7.5,0,20190409,-11.8,120,0,.000,2,1,3,2.1,19,0,0,2,0,0,4,0,0
6.9,0.0,.250,.250,6.3,HOU,.375,0.0,1276.0,0,1.000,.375,1,+2,0,4,13.3,0.0,0,Austin Rivers,8.4,3,20190409,-3.4,117,0,.000,3,1,1,2.4,91,1,0,3,0,1,4,0,0
0.0,0.0,.556,.556,0.0,HOU,.833,0.0,904.0,0,1.000,.833,1,+2,0,9,0.0,0.0,0,Gerald Green,26.6,15,20190409,20.1,121,0,.000,0,0,1,3.3,152,5,0,0,0,5,9,0,0
8.4,0.0,0,.000,10.9,HOU,.000,8.8,697.0,1,.000,.000,0,+3,0,2,8.1,33.3,0,Nenê,11.5,0,20190409,-15.2,125,0,.000,1,1,2,0.0,45,0,0,2,0,0,0,1,0
0,0,0,0,0,HOU,0,0,0.0,0,0,0,0,0,0,0,0,0,0,Iman Shumpert,0,0,20190409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,HOU,0,0,0.0,0,0,0,0,0,0,0,0,0,0,Kenneth Faried,0,0,20190409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
