ftr,fga,ast,starter,ft,stl,fg_pct,ast_pct,ts_pct,fg,threep_pct,date,ortg,trb,pts,orb,blk_pct,team_abbr,drb,tov_pct,ft_pct,usg_pct,fta,sp,stl_pct,efg_pct,tov,trb_pct,threep,threepar,orb_pct,blk,pf,player_name,drtg,inactive,threepa,drb_pct,bpm,pm
.133,15,6,1,2,1,.400,26.0,.504,6,.400,20191102,109,3,16,0,0.0,NOP,3,11.2,1.000,20.6,2,2091.0,1.4,.467,2,4.1,2,.333,0.0,0,4,Jrue Holiday,117,0,5,8.8,-2.0,-10
.182,11,7,1,0,3,.364,30.3,.421,4,.400,20191102,81,8,10,2,0.0,NOP,6,29.6,.000,20.8,2,1951.0,4.4,.455,5,11.8,2,.455,5.6,0,3,Lonzo Ball,108,0,5,18.8,-1.6,+4
.214,14,3,1,1,0,.500,17.3,.490,7,0,20191102,95,12,15,6,6.2,NOP,6,20.7,.333,26.5,3,1752.0,0.0,.500,4,19.7,0,.000,18.6,2,5,Jahlil Okafor,112,0,0,21.0,-3.7,+2
.800,5,1,1,1,0,.600,12.5,.518,3,0,20191102,97,4,7,1,6.9,NOP,3,12.9,.250,23.6,4,790.0,0.0,.600,1,14.6,0,.000,6.9,1,0,Brandon Ingram,111,0,0,23.3,1.7,+4
1.000,2,0,1,2,0,.500,0.0,.694,1,.000,20191102,106,2,4,0,0.0,NOP,2,25.8,1.000,14.9,2,625.0,0.0,.500,1,9.2,0,.500,0.0,0,1,Nicolò Melli,117,0,1,19.6,-7.0,-12
.000,11,3,0,0,1,.455,15.0,.545,5,.400,20191102,120,15,12,3,3.0,NOP,12,8.3,0,16.0,0,1803.0,1.6,.545,1,24.0,2,.455,9.0,1,2,Josh Hart,107,0,5,40.8,5.9,0
.167,12,1,0,1,1,.500,6.1,.660,6,.444,20191102,138,3,17,0,0.0,NOP,3,0.0,.500,19.2,2,1612.0,1.8,.667,0,5.4,4,.750,0.0,0,0,J.J. Redick,115,0,9,11.4,7.5,-17
.455,11,1,0,4,0,.364,6.9,.455,4,.000,20191102,97,0,12,0,0.0,NOP,0,7.0,.800,25.8,5,1326.0,0.0,.364,1,0.0,0,.273,0.0,0,1,Frank Jackson,122,0,3,0.0,-8.3,-16
.000,3,0,0,0,0,.333,0.0,.500,1,.333,20191102,84,3,3,1,4.7,NOP,2,25.0,0,8.4,0,1146.0,0.0,.500,1,7.5,1,1.000,4.7,1,2,Kenrich Williams,116,0,3,10.7,-5.7,0
.000,5,3,0,0,1,.400,31.5,.400,2,0,20191102,132,5,4,4,0.0,NOP,1,0.0,0,14.5,0,829.0,3.4,.400,0,17.4,0,.000,26.2,0,5,Jaxson Hayes,112,0,0,7.4,1.8,-4
.400,5,0,0,2,0,.200,0.0,.340,1,.000,20191102,84,1,4,0,0.0,NOP,1,0.0,1.000,29.8,2,475.0,0.0,.200,0,6.1,0,.200,0.0,0,2,Nickeil Alexander-Walker,119,0,1,12.9,-16.8,-6
0,0,0,0,0,0,0,0,0,0,0,20191102,0,0,0,0,0,NOP,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Derrick Favors,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20191102,0,0,0,0,0,NOP,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,E'Twaun Moore,0,0,0,0,0,0
