ftr,fga,ast,starter,ft,stl,fg_pct,ast_pct,ts_pct,fg,threep_pct,date,ortg,trb,pts,orb,blk_pct,team_abbr,drb,tov_pct,ft_pct,usg_pct,fta,sp,stl_pct,efg_pct,tov,trb_pct,threep,threepar,orb_pct,blk,pf,player_name,drtg,inactive,threepa,drb_pct,bpm,pm
.273,22,3,1,5,1,.455,13.9,.588,10,.500,20191108,121,9,29,3,0.0,NYK,6,7.5,.833,27.3,6,2453.0,1.2,.545,2,10.3,4,.364,6.5,0,2,Marcus Morris,105,0,8,14.4,5.6,+7
.000,12,4,1,0,4,.417,16.7,.583,5,.800,20191108,126,6,14,2,8.3,NYK,4,7.7,0,14.5,0,2253.0,5.1,.583,1,7.4,4,.417,4.7,3,3,Frank Ntilikina,90,0,5,10.4,11.3,+5
.500,16,4,1,5,1,.438,19.1,.538,7,.250,20191108,100,8,21,1,0.0,NYK,7,17.0,.625,27.2,8,2171.0,1.3,.500,4,10.3,2,.500,2.5,0,2,Julius Randle,103,0,8,19.0,0.2,+8
.667,9,4,1,1,0,.111,15.4,.129,1,.000,20191108,46,8,3,0,0.0,NYK,8,7.9,.167,15.2,6,2095.0,0.0,.111,1,10.7,0,.111,0.0,0,3,RJ Barrett,106,0,1,22.4,-13.5,-8
.667,6,1,1,2,1,.833,6.1,.773,5,0,20191108,147,8,12,4,0.0,NYK,4,11.4,.500,13.2,4,1661.0,1.7,.833,1,13.5,0,.000,12.8,0,5,Taj Gibson,103,0,0,14.2,1.5,-5
.333,15,1,0,3,1,.333,7.2,.407,5,.333,20191108,95,12,14,4,0.0,NYK,8,5.5,.600,31.2,5,1467.0,2.0,.367,1,22.9,1,.200,14.5,0,0,Bobby Portis,99,0,3,32.1,-1.0,+3
.667,3,2,0,2,1,.333,16.7,.515,1,0,20191108,103,1,4,0,0.0,NYK,1,20.5,1.000,12.2,2,1009.0,2.8,.333,1,2.8,0,.000,0.0,0,4,Allonzo Trier,102,0,0,5.8,-6.5,+4
.000,4,0,0,0,0,.500,0.0,.750,2,1.000,20191108,148,3,6,0,0.0,NYK,3,0.0,0,11.3,0,888.0,0.0,.750,0,9.4,2,.500,0.0,0,0,Kevin Knox,106,0,2,19.9,3.6,-1
.000,2,0,0,0,0,.500,0.0,.750,1,1.000,20191108,87,1,3,0,0.0,NYK,1,33.3,0,18.7,0,403.0,0.0,.750,1,6.9,1,.500,0.0,0,1,Damyean Dotson,107,0,1,14.6,-6.2,+7
0,0,0,0,0,0,0,0,0,0,0,20191108,0,0,0,0,0,NYK,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Wayne Ellington,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20191108,0,0,0,0,0,NYK,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Ignas Brazdeikis,0,0,0,0,0,0
.136,22,0,1,2,0,.500,0.0,.600,11,.500,20191108,110,9,28,0,11.1,DAL,9,4.1,.667,29.7,3,2135.0,0.0,.591,1,11.8,4,.364,0.0,5,6,Kristaps Porziņģis,97,0,8,22.5,7.2,-4
.346,26,10,1,9,0,.500,70.7,.634,13,.273,20191108,111,14,38,1,0.0,DAL,13,21.1,1.000,46.8,9,2113.0,0.0,.558,8,18.5,3,.423,2.8,0,5,Luka Dončić,101,0,11,32.8,11.0,-5
2.000,1,0,1,1,1,.000,0.0,.266,0,0,20191108,108,5,1,2,0.0,DAL,3,0.0,.500,3.0,2,1635.0,1.8,.000,0,8.6,0,.000,7.2,0,3,Dwight Powell,106,0,0,9.8,-5.9,+2
.000,4,1,1,0,0,.250,6.4,.375,1,.250,20191108,98,3,3,1,0.0,DAL,2,0.0,0,8.0,0,1302.0,0.0,.375,0,6.4,1,1.000,4.5,0,1,Dorian Finney-Smith,112,0,4,8.2,-4.0,-3
.000,2,0,1,0,0,.500,0.0,.500,1,0,20191108,97,0,2,0,0.0,DAL,0,0.0,0,18.7,0,279.0,0.0,.500,0,0.0,0,.000,0.0,0,0,Courtney Lee,116,0,0,0.0,-4.7,+4
.000,6,0,0,0,1,.500,0.0,.667,3,.400,20191108,134,5,8,1,0.0,DAL,4,0.0,0,8.8,0,1769.0,1.6,.667,0,7.9,2,.833,3.3,0,1,Maxi Kleber,107,0,5,12.1,1.3,-2
.000,5,2,0,0,0,.200,10.6,.200,1,.000,20191108,61,4,2,1,3.1,DAL,3,16.7,0,10.1,0,1545.0,0.0,.200,1,7.2,0,.400,3.8,1,1,Delon Wright,109,0,2,10.4,-7.7,-12
.133,15,1,0,1,0,.333,7.5,.441,5,.300,20191108,84,2,14,0,0.0,DAL,2,5.9,.500,30.8,2,1428.0,0.0,.433,1,3.9,3,.667,0.0,0,1,Tim Hardaway Jr.,112,0,10,7.5,-4.7,-6
.250,4,4,0,1,1,.250,34.7,.338,1,.000,20191108,74,3,3,0,0.0,DAL,3,31.1,1.000,17.2,1,974.0,2.9,.250,2,8.6,0,.500,0.0,0,0,Jalen Brunson,102,0,2,16.4,-3.4,+15
