ftr,fga,ast,starter,ft,stl,fg_pct,ast_pct,ts_pct,fg,threep_pct,date,ortg,trb,pts,orb,blk_pct,team_abbr,drb,tov_pct,ft_pct,usg_pct,fta,sp,stl_pct,efg_pct,tov,trb_pct,threep,threepar,orb_pct,blk,pf,player_name,drtg,inactive,threepa,drb_pct,bpm,pm
.333,12,11,1,4,2,.333,42.0,.436,4,.000,20191109,106,5,12,1,2.5,NOP,4,22.5,1.000,20.6,4,2175.0,2.5,.333,4,7.6,0,.417,3.5,1,4,Jrue Holiday,105,0,5,10.8,-2.8,+8
.917,12,4,1,6,1,.667,18.5,.742,8,.750,20191109,106,9,25,1,0.0,NOP,8,29.4,.545,28.2,11,2135.0,1.3,.792,7,14.0,3,.333,3.5,0,4,Brandon Ingram,105,0,4,22.0,-1.6,+4
.000,10,3,1,0,2,.500,15.5,.500,5,0,20191109,117,10,10,3,0.0,NOP,7,9.1,0,15.8,0,1756.0,3.1,.500,1,18.9,0,.000,12.9,0,3,Derrick Favors,100,0,0,23.4,-0.6,+10
.385,13,0,1,5,2,.462,0.0,.724,6,.556,20191109,109,5,22,0,6.3,NOP,5,20.8,1.000,28.2,5,1714.0,3.2,.654,4,9.7,5,.692,0.0,2,3,J.J. Redick,99,0,9,17.1,3.7,+15
.250,8,3,1,0,2,.750,17.0,.845,6,.600,20191109,172,5,15,2,3.2,NOP,3,0.0,.000,13.2,2,1700.0,3.2,.938,0,9.7,3,.625,8.9,1,3,Kenrich Williams,103,0,5,10.4,12.5,+7
.000,5,2,0,0,2,.800,13.0,1.000,4,.667,20191109,201,7,10,1,0.0,NOP,6,0.0,0,9.1,0,1393.0,3.9,1.000,0,16.6,2,.600,5.4,0,3,Josh Hart,98,0,3,25.3,10.9,+3
1.333,3,0,0,3,0,1.000,0.0,.945,3,0,20191109,194,1,9,0,10.0,NOP,1,0.0,.750,11.1,4,1083.0,0.0,1.000,0,3.1,0,.000,0.0,2,2,Jaxson Hayes,108,0,0,5.4,3.5,-2
.000,4,0,0,0,1,.500,0.0,.500,2,.000,20191109,76,0,4,0,0.0,NOP,0,20.0,0,14.8,0,851.0,3.2,.500,1,0.0,0,.250,0.0,0,2,E'Twaun Moore,108,0,1,0.0,-9.3,-1
2.000,2,2,0,3,1,.000,17.8,.399,0,.000,20191109,92,0,3,0,0.0,NOP,0,21.0,.750,14.8,4,809.0,3.4,.000,1,0.0,0,1.000,0.0,0,2,Frank Jackson,108,0,2,0.0,-6.7,-2
.000,4,0,0,0,0,.500,0.0,.625,2,.500,20191109,44,2,5,0,0.0,NOP,2,55.6,0,45.3,0,501.0,0.0,.625,5,13.2,1,.500,0.0,0,2,Nickeil Alexander-Walker,107,0,2,23.5,-31.0,-6
.000,2,0,0,0,0,.000,0.0,.000,0,.000,20191109,15,1,0,1,0.0,NOP,0,60.0,0,44.6,0,283.0,0.0,.000,3,11.7,0,1.000,26.8,0,0,Nicolò Melli,116,0,2,0.0,-49.1,-11
0,0,0,0,0,0,0,0,0,0,0,20191109,0,0,0,0,0,NOP,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Josh Gray,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20191109,0,0,0,0,0,NOP,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Jahlil Okafor,0,0,0,0,0,0
.357,14,6,1,5,0,.357,27.8,.556,5,.429,20191109,108,5,18,0,0.0,CHO,5,15.6,1.000,21.0,5,2127.0,0.0,.464,3,7.8,3,.500,0.0,0,3,Terry Rozier,113,0,7,17.8,-1.6,-9
.429,7,2,1,2,1,.571,11.8,.601,4,.000,20191109,111,8,10,3,0.0,CHO,5,19.4,.667,14.3,3,1672.0,1.6,.571,2,15.8,0,.143,10.5,0,3,Cody Zeller,108,0,1,22.7,-1.7,-13
.000,11,3,1,0,1,.455,19.7,.545,5,.500,20191109,82,1,12,0,0.0,CHO,1,26.7,0,21.5,0,1618.0,1.7,.545,4,2.0,2,.364,0.0,0,3,Dwayne Bacon,111,0,4,4.7,-5.1,-13
