ftr,fga,ast,starter,ft,stl,fg_pct,ast_pct,ts_pct,fg,threep_pct,date,ortg,trb,pts,orb,blk_pct,team_abbr,drb,tov_pct,ft_pct,usg_pct,fta,sp,stl_pct,efg_pct,tov,trb_pct,threep,threepar,orb_pct,blk,pf,player_name,drtg,inactive,threepa,drb_pct,bpm,pm
.069,29,10,1,2,0,.517,39.9,.619,15,.500,20191121,122,6,37,1,5.9,POR,5,9.1,1.000,35.0,2,2309.0,0.0,.603,3,7.6,5,.345,2.5,3,3,CJ McCollum,130,0,10,12.5,7.5,-8
.000,9,2,1,0,0,.333,6.8,.444,3,.333,20191121,93,3,8,1,2.4,POR,2,10.0,0,13.2,0,1866.0,0.0,.444,1,4.7,2,.667,3.1,1,3,Anthony Tolliver,135,0,6,6.2,-9.5,-1
.000,5,4,1,0,2,1.000,15.3,1.100,5,1.000,20191121,180,3,11,0,0.0,POR,3,16.7,0,8.2,0,1796.0,3.0,1.100,1,4.9,1,.200,0.0,0,5,Rodney Hood,128,0,1,9.6,1.0,-4
.267,15,4,1,3,0,.400,16.5,.537,6,.600,20191121,103,7,18,2,0.0,POR,5,15.2,.750,27.9,4,1739.0,0.0,.500,3,11.7,3,.333,6.8,0,2,Carmelo Anthony,132,0,5,16.6,-6.1,-1
.000,7,2,1,0,1,.714,11.9,.929,5,.750,20191121,178,1,13,0,7.3,POR,1,0.0,0,13.7,0,1258.0,2.1,.929,0,2.3,3,.571,0.0,2,2,Gary Trent Jr.,128,0,4,4.6,11.0,+3
.000,16,3,0,0,1,.625,15.3,.688,10,.500,20191121,145,12,22,3,13.4,POR,9,0.0,0,23.1,0,1705.0,1.6,.688,0,20.5,2,.250,10.3,5,3,Skal Labissière,116,0,4,30.4,11.6,-11
.000,8,6,0,0,1,.125,33.0,.125,1,.000,20191121,71,5,2,0,0.0,POR,5,0.0,0,17.8,0,1106.0,2.4,.125,0,13.2,0,.375,0.0,0,2,Kent Bazemore,122,0,3,26.0,-9.2,-8
.222,9,1,0,2,1,.222,6.2,.304,2,.000,20191121,79,2,6,1,0.0,POR,1,0.0,1.000,23.2,2,1046.0,2.6,.222,0,5.6,0,.444,5.6,0,2,Anfernee Simons,130,0,4,5.5,-15.7,-3
1.200,5,0,0,5,0,.600,0.0,.785,3,.500,20191121,165,1,12,1,0.0,POR,0,0.0,.833,18.8,6,997.0,0.0,.700,0,2.9,1,.400,5.9,0,1,Nassir Little,139,0,2,0.0,-0.4,-5
0,0,0,0,0,0,0,0.0,0,0,0,20191121,0,1,0,0,0.0,POR,1,0,0,0.0,0,578.0,0.0,0,0,5.0,0,0,0.0,0,4,Mario Hezonja,134,0,0,10.0,-17.2,-2
0,0,0,0,0,0,0,0,0,0,0,20191121,0,0,0,0,0,POR,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Moses Brown,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20191121,0,0,0,0,0,POR,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Jaylen Hoard,0,0,0,0,0,0
.370,27,15,1,5,3,.333,53.0,.382,9,.143,20191121,102,19,24,4,2.1,MIL,15,13.7,.500,37.7,10,2149.0,3.8,.352,5,25.7,1,.259,10.7,1,2,Giannis Antetokounmpo,110,0,7,41.0,5.8,+5
.286,21,6,1,6,1,.524,28.2,.635,11,.333,20191121,137,4,30,2,0.0,MIL,2,7.8,1.000,30.7,6,1861.0,1.5,.571,2,6.3,2,.286,6.2,0,2,Eric Bledsoe,124,0,6,6.3,5.7,+4
.000,7,3,1,0,1,.571,11.0,.714,4,.400,20191121,136,0,10,0,5.0,MIL,0,12.5,0,9.9,0,1804.0,1.5,.714,1,0.0,2,.714,0.0,2,1,Brook Lopez,121,0,5,0.0,1.7,+1
.000,9,1,1,0,0,.444,3.7,.667,4,.571,20191121,150,3,12,1,0.0,MIL,2,0.0,0,11.2,0,1786.0,0.0,.667,0,4.9,4,.778,3.2,0,3,Wesley Matthews,127,0,7,6.6,-3.0,+2
.000,15,1,1,0,1,.467,4.7,.533,7,.333,20191121,125,6,16,2,0.0,MIL,4,0.0,0,20.4,0,1637.0,1.7,.533,0,10.7,2,.400,7.0,0,2,Donte DiVincenzo,122,0,6,14.4,-2.8,+5
.200,10,2,0,2,0,.700,12.9,.827,7,.667,20191121,157,4,18,1,0.0,MIL,3,8.4,1.000,20.4,2,1297.0,0.0,.800,1,9.0,2,.300,4.4,0,1,Pat Connaughton,126,0,3,13.6,7.1,+2
.000,5,1,0,0,0,.600,6.2,.800,3,.667,20191121,118,6,8,2,0.0,MIL,4,28.6,0,14.2,0,1095.0,0.0,.800,2,15.9,2,.600,10.5,0,2,Sterling Brown,124,0,3,21.5,-2.2,+4
.500,4,3,0,2,1,.500,18.9,.717,2,.333,20191121,180,4,7,2,0.0,MIL,2,0.0,1.000,10.6,2,1028.0,2.6,.625,0,11.3,1,.750,11.2,0,4,George Hill,120,0,3,11.4,2.7,+4
1.333,3,0,0,4,0,.333,0.0,.630,1,.000,20191121,162,6,6,2,0.0,MIL,4,0.0,1.000,11.8,4,898.0,0.0,.333,0,19.4,0,.333,12.8,0,1,Ersan İlyasova,123,0,1,26.2,-4.0,+11
.400,5,0,0,2,0,.400,0.0,.510,2,.000,20191121,110,6,6,2,0.0,MIL,4,14.5,1.000,18.1,2,845.0,0.0,.400,1,20.7,0,.400,13.6,0,2,Robin Lopez,123,0,2,27.8,-10.7,+2
0,0,0,0,0,0,0,0,0,0,0,20191121,0,0,0,0,0,MIL,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Kyle Korver,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20191121,0,0,0,0,0,MIL,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Thanasis Antetokounmpo,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20191121,0,0,0,0,0,MIL,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,D.J. Wilson,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20191121,0,0,0,0,0,POR,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Zach Collins,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20191121,0,0,0,0,0,POR,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Damian Lillard,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20191121,0,0,0,0,0,POR,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Hassan Whiteside,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20191121,0,0,0,0,0,MIL,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Dragan Bender,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20191121,0,0,0,0,0,MIL,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Frank Mason III,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20191121,0,0,0,0,0,MIL,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Khris Middleton,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20191121,0,0,0,0,0,MIL,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Cameron Reynolds,0,1,0,0,0,0
