ftr,fga,ast,starter,ft,stl,fg_pct,ast_pct,ts_pct,fg,threep_pct,date,ortg,trb,pts,orb,blk_pct,team_abbr,drb,tov_pct,ft_pct,usg_pct,fta,sp,stl_pct,efg_pct,tov,trb_pct,threep,threepar,orb_pct,blk,pf,player_name,drtg,inactive,threepa,drb_pct,bpm,pm
.133,15,2,1,1,2,.333,9.4,.409,5,.250,20200228,87,11,13,2,0.0,SAC,9,5.9,.500,22.3,2,1996.0,2.9,.400,1,16.0,2,.533,5.8,0,2,Nemanja Bjelica,98,0,8,26.5,-2.6,+5
.158,19,5,1,2,2,.526,30.9,.615,10,.500,20200228,122,4,25,1,0.0,SAC,3,4.7,.667,28.3,3,1984.0,2.9,.605,1,5.9,3,.316,2.9,0,3,De'Aaron Fox,103,0,6,8.9,8.8,-2
1.000,6,2,1,5,1,.167,8.1,.405,1,.000,20200228,75,4,7,1,0.0,SAC,3,25.8,.833,15.7,6,1950.0,1.5,.167,3,6.0,0,.500,3.0,0,1,Harrison Barnes,106,0,3,9.0,-9.4,+6
.000,14,2,1,0,1,.571,12.4,.571,8,0,20200228,108,5,16,1,2.6,SAC,4,6.7,0,21.6,0,1830.0,1.6,.571,1,7.9,0,.000,3.1,1,3,Harry Giles,103,0,0,12.8,0.2,-6
.222,9,4,1,2,0,.111,19.6,.253,1,.143,20200228,79,8,5,1,0.0,SAC,7,0.0,1.000,16.1,2,1622.0,0.0,.167,0,14.3,1,.778,3.6,0,1,Bogdan Bogdanović,105,0,7,25.4,-7.8,-1
.222,9,0,0,1,2,.556,0.0,.658,5,.500,20200228,109,4,13,0,2.7,SAC,4,9.2,.500,16.5,2,1741.0,3.3,.667,1,6.7,2,.444,0.0,1,2,Kent Bazemore,99,0,4,13.5,2.2,-3
.333,12,2,0,4,1,.333,13.9,.509,4,.250,20200228,101,4,14,0,0.0,SAC,4,6.8,1.000,28.0,4,1390.0,2.1,.417,1,8.4,2,.667,0.0,0,2,Buddy Hield,102,0,8,16.9,-0.3,+8
.000,3,3,0,0,1,1.000,30.1,1.000,3,0,20200228,163,7,6,2,4.8,SAC,5,25.0,0,10.7,0,984.0,2.9,1.000,1,20.7,0,.000,11.7,1,1,Alex Len,93,0,0,29.9,13.4,+3
.500,4,4,0,2,1,.250,36.8,.512,1,.500,20200228,131,0,5,0,0.0,SAC,0,0.0,1.000,14.3,2,900.0,3.2,.375,0,0.0,1,.500,0.0,0,1,Cory Joseph,105,0,2,0.0,5.4,+5
0,0,0,0,0,0,0,0,0,0,0,20200228,0,0,0,0,0,SAC,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Anthony Tolliver,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20200228,0,0,0,0,0,SAC,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Yogi Ferrell,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20200228,0,0,0,0,0,SAC,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Jabari Parker,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20200228,0,0,0,0,0,SAC,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Justin James,0,0,0,0,0,0
.227,22,1,1,5,0,.545,4.9,.661,12,.429,20200228,122,2,32,2,2.3,MEM,0,7.6,1.000,28.3,5,2384.0,0.0,.614,2,2.4,3,.318,4.9,1,6,Dillon Brooks,111,0,7,0.0,3.2,+3
.412,17,11,1,5,0,.412,50.7,.498,7,.200,20200228,111,3,20,1,0.0,MEM,2,9.1,.714,26.8,7,2119.0,0.0,.441,2,4.1,1,.294,2.8,0,2,Ja Morant,112,0,5,5.4,2.3,-1
.000,5,3,1,0,1,.400,12.0,.400,2,0,20200228,102,3,4,0,2.7,MEM,3,0.0,0,6.5,0,1993.0,1.5,.400,0,4.4,0,.000,0.0,1,1,Kyle Anderson,106,0,0,8.7,-2.1,-7
.286,14,0,1,4,0,.286,0.0,.412,4,.333,20200228,98,25,13,6,5.6,MEM,19,6.0,1.000,22.3,4,1935.0,0.0,.321,1,37.6,1,.214,18.2,2,1,Jonas Valančiūnas,96,0,3,56.6,-1.5,+6
.000,7,6,1,0,0,.571,37.2,.714,4,.667,20200228,110,6,10,1,0.0,MEM,5,30.0,0,17.3,0,1485.0,0.0,.714,3,11.8,2,.429,4.0,0,4,De'Anthony Melton,109,0,3,19.4,1.3,+6
.000,10,3,0,0,3,.400,19.4,.450,4,.200,20200228,90,3,9,0,0.0,MEM,3,9.1,0,19.7,0,1439.0,6.0,.450,1,6.1,1,.500,0.0,0,0,Josh Jackson,97,0,5,12.0,4.0,+1
.286,7,0,0,1,1,.286,0.0,.317,2,.000,20200228,58,7,5,0,4.0,MEM,7,11.3,.500,16.8,2,1358.0,2.1,.286,1,15.0,0,.571,0.0,1,0,Gorgui Dieng,99,0,4,29.7,-7.1,-4
.000,7,3,0,0,1,.429,23.6,.429,3,.000,20200228,77,2,6,0,0.0,MEM,2,22.2,0,20.0,0,1161.0,2.5,.429,2,5.0,0,.286,0.0,0,1,Tyus Jones,105,0,2,9.9,-7.2,-7
.000,2,0,0,0,1,.500,0.0,.500,1,.000,20200228,95,1,2,0,0.0,MEM,1,0.0,0,19.7,0,262.0,11.0,.500,0,11.1,0,.500,0.0,0,0,John Konchar,83,0,1,22.0,9.1,-6
0,0,0,0,0,0,0,0.0,.000,0,0,20200228,0,0,0,0,0.0,MEM,0,0.0,.000,8.7,2,262.0,0.0,0,0,0.0,0,0,0.0,0,1,Yuta Watanabe,113,0,0,0.0,-19.0,-6
0,0,0,0,0,0,0,0,0,0,0,20200228,0,0,0,0,0,MEM,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Jarrod Uthoff,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20200228,0,0,0,0,0,MEM,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Marko Guduric,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20200228,0,0,0,0,0,MEM,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Jordan Bell,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20200228,0,0,0,0,0,SAC,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Marvin Bagley III,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20200228,0,0,0,0,0,SAC,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Kyle Guy,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20200228,0,0,0,0,0,SAC,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Richaun Holmes,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20200228,0,0,0,0,0,SAC,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,DaQuan Jeffries,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20200228,0,0,0,0,0,MEM,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Grayson Allen,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20200228,0,0,0,0,0,MEM,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Brandon Clarke,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20200228,0,0,0,0,0,MEM,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Justise Winslow,0,1,0,0,0,0
