ftr,fga,ast,starter,ft,stl,fg_pct,ast_pct,ts_pct,fg,threep_pct,date,ortg,trb,pts,orb,blk_pct,team_abbr,drb,tov_pct,ft_pct,usg_pct,fta,sp,stl_pct,efg_pct,tov,trb_pct,threep,threepar,orb_pct,blk,pf,player_name,drtg,inactive,threepa,drb_pct,bpm,pm
.211,19,1,1,3,1,.421,4.0,.530,8,.429,20210117,92,3,22,0,2.6,NOP,3,19.4,.750,30.9,4,2125.0,1.4,.500,5,5.0,3,.368,0.0,1,3,Brandon Ingram,124,0,7,9.7,-9.6,-8
.333,15,2,1,5,0,.867,9.9,.901,13,0,20210117,164,6,31,1,0.0,NOP,5,10.4,1.000,23.1,5,2119.0,0.0,.867,2,10.1,0,.000,3.5,0,4,Zion Williamson,128,0,0,16.2,6.4,+14
.625,8,5,1,2,2,.375,17.7,.441,3,.333,20210117,125,5,9,1,0.0,NOP,4,0.0,.400,13.0,5,2003.0,2.9,.438,0,8.9,1,.375,3.7,0,2,Nickeil Alexander-Walker,122,0,3,13.7,-0.1,-2
1.000,8,4,1,6,0,.375,14.8,.521,3,0,20210117,133,15,12,8,0.0,NOP,7,14.8,.750,18.0,8,1919.0,0.0,.375,2,27.8,0,.000,30.8,0,0,Steven Adams,127,0,0,25.0,0.1,0
.143,14,1,1,2,1,.571,5.0,.706,8,.750,20210117,132,6,21,1,0.0,NOP,5,11.8,1.000,24.1,2,1789.0,1.6,.679,2,11.9,3,.286,4.1,0,1,Eric Bledsoe,124,0,4,19.2,2.5,-2
.000,5,3,0,0,1,.400,14.1,.500,2,.333,20210117,124,5,5,2,0.0,NOP,3,16.7,0,10.3,0,1486.0,2.0,.500,1,12.0,1,.600,9.9,0,1,Josh Hart,124,0,3,13.8,0.2,+2
1.000,5,3,0,5,0,.600,21.1,.972,3,.600,20210117,213,0,14,0,0.0,NOP,0,0.0,1.000,16.7,5,1101.0,0.0,.900,0,0.0,3,1.000,0.0,0,0,J.J. Redick,131,0,5,0.0,15.6,+11
.500,6,0,0,3,0,.667,0.0,.751,4,0,20210117,141,6,11,1,0.0,NOP,5,12.0,1.000,22.3,3,952.0,0.0,.667,1,22.4,0,.000,7.8,0,1,Jaxson Hayes,125,0,0,36.0,0.1,+1
.400,5,5,0,1,0,.200,38.0,.255,1,0,20210117,107,2,3,0,0.0,NOP,2,0.0,.500,16.5,2,906.0,0.0,.200,0,7.8,0,.000,0.0,0,3,Kira Lewis Jr.,128,0,0,15.1,-9.7,+9
0,0,0,0,0,0,0,0,0,0,0,20210117,0,0,0,0,0,NOP,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Sindarius Thornwell,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20210117,0,0,0,0,0,NOP,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Wenyen Gabriel,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20210117,0,0,0,0,0,NOP,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Willy Hernangómez,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20210117,0,0,0,0,0,NOP,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Nicolò Melli,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20210117,0,0,0,0,0,NOP,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Naji Marshall,0,0,0,0,0,0
