threepar,trb,trb_pct,date,team_abbr,orb_pct,ft,drb_pct,blk,efg_pct,bpm,ast,tov,blk_pct,fta,pf,drtg,ftr,sp,tov_pct,fg,threep,orb,stl_pct,ast_pct,ortg,ft_pct,fg_pct,threep_pct,pm,ts_pct,inactive,stl,usg_pct,pts,fga,threepa,player_name,starter,drb
.355,7,9.1,20210413,OKC,4.8,3,14.3,0,.629,22.2,3,2,0.0,7,3,104,.226,2193.0,5.5,16,7,2,5.6,26.3,125,.429,.516,.636,-1,.616,0,4,42.0,42,31,11,Luguentz Dort,1,5
.556,1,1.7,20210413,OKC,0.0,0,3.6,0,.389,-10.7,0,1,0.0,2,1,122,.222,1724.0,9.2,3,1,0,0.0,0.0,69,.000,.333,.200,+7,.354,0,0,16.1,7,9,5,Darius Bazley,1,1
.000,15,27.3,20210413,OKC,16.7,4,39.9,1,.500,3.1,0,2,4.7,4,4,96,.500,1569.0,17.0,4,0,5,3.9,0.0,120,1.000,.500,0,+10,.615,0,2,19.1,12,8,0,Moses Brown,1,10
.250,9,18.1,20210413,OKC,11.1,0,26.5,0,.313,-5.3,2,2,0.0,0,2,108,.000,1416.0,20.0,2,1,3,2.2,12.7,77,0,.250,.500,-16,.313,0,1,18.0,5,8,2,Isaiah Roby,1,6
.500,0,0.0,20210413,OKC,0.0,3,0.0,0,.167,-6.9,2,0,0.0,4,2,118,.667,1404.0,0.0,1,0,0,2.2,12.1,88,.750,.167,.000,-2,.322,0,1,14.1,5,6,3,Théo Maledon,1,0
.286,3,6.4,20210413,OKC,7.8,0,4.7,0,.357,-6.2,1,0,0.0,1,1,121,.143,1339.0,0.0,2,1,2,0.0,6.8,93,.000,.286,.500,-21,.336,0,0,14.2,5,7,2,Svi Mykhailiuk,0,1
.000,4,8.9,20210413,OKC,4.1,0,14.7,0,.429,-6.9,2,1,0.0,0,3,117,.000,1275.0,12.5,3,0,1,0.0,15.5,95,0,.429,0,-22,.429,0,0,16.0,6,7,0,Kenrich Williams,0,3
.750,2,4.9,20210413,OKC,0.0,0,10.8,0,.583,1.3,2,3,0.0,0,2,119,.000,1156.0,20.0,5,4,0,0.0,21.2,100,0,.417,.444,-17,.583,0,0,33.1,14,12,9,Ty Jerome,0,2
.333,2,6.3,20210413,OKC,0.0,0,13.8,0,.000,-15.0,1,1,0.0,0,1,118,.000,910.0,25.0,0,0,0,0.0,8.8,16,0,.000,.000,+1,.000,0,0,11.2,0,3,1,Josh Hall,0,2
0,2,8.8,20210413,OKC,0.0,0,19.4,0,0,-12.5,0,0,0.0,0,3,116,0,645.0,0,0,0,0,0.0,0.0,0,0,0,0,+8,0,0,0,0.0,0,0,0,Jaylen Hoard,0,2
.000,5,22.4,20210413,OKC,16.4,0,29.5,0,.000,-8.5,0,0,0.0,0,0,112,.000,637.0,0.0,0,0,2,0.0,0.0,90,0,.000,0,+1,.000,0,0,4.0,0,1,0,Tony Bradley,0,3
1.000,0,0.0,20210413,OKC,0.0,0,0.0,0,.000,-33.4,0,0,0.0,0,1,123,.000,129.0,0.0,0,0,0,0.0,0.0,0,0,.000,.000,+2,.000,0,0,19.8,0,1,1,Justin Robinson,0,0
