ftr,fga,ast,starter,ft,stl,fg_pct,ast_pct,ts_pct,fg,threep_pct,date,ortg,trb,pts,orb,blk_pct,team_abbr,drb,tov_pct,ft_pct,usg_pct,fta,sp,stl_pct,efg_pct,tov,trb_pct,threep,threepar,orb_pct,blk,pf,player_name,drtg,inactive,threepa,drb_pct,bpm,pm
.429,14,6,1,5,0,.357,23.5,.511,5,.250,20210426,103,5,17,0,0.0,CHI,5,15.3,.833,25.2,6,2142.0,0.0,.429,3,7.9,2,.571,0.0,0,3,Coby White,113,0,8,14.0,-5.6,+12
.133,15,2,1,2,1,.600,9.5,.756,9,.800,20210426,112,11,24,1,0.0,CHI,10,20.1,1.000,25.9,2,2115.0,1.5,.733,4,17.6,4,.333,3.7,0,4,Nikola Vučević,107,0,5,28.4,3.7,+10
.231,13,5,1,2,0,.769,28.2,.803,10,.500,20210426,169,12,23,2,6.2,CHI,10,0.0,.667,20.2,3,1949.0,0.0,.808,0,20.9,1,.154,8.0,2,1,Daniel Theis,105,0,2,30.8,17.2,+5
.000,7,2,1,0,0,.571,9.0,.714,4,.500,20210426,121,1,10,0,0.0,CHI,1,12.5,0,11.9,0,1845.0,0.0,.714,1,1.8,2,.571,0.0,0,2,Garrett Temple,115,0,4,3.3,-1.5,+14
.714,7,2,1,4,0,.286,11.7,.435,2,.000,20210426,78,2,8,0,4.5,CHI,2,24.6,.800,25.0,5,1341.0,0.0,.286,3,5.1,0,.143,0.0,1,1,Patrick Williams,110,0,1,8.9,-10.9,+3
.167,6,8,0,0,0,.833,45.9,.776,5,0,20210426,148,9,10,4,0.0,CHI,5,23.7,.000,14.7,1,1576.0,0.0,.833,2,19.3,0,.000,19.8,0,4,Thaddeus Young,112,0,0,19.0,8.2,-3
.000,11,1,0,0,1,.455,6.8,.545,5,.286,20210426,98,2,12,0,0.0,CHI,2,8.3,0,23.8,0,1390.0,2.2,.545,1,4.9,2,.636,0.0,0,3,Lauri Markkanen,109,0,7,8.6,-4.0,+9
1.667,3,6,0,4,1,.333,41.5,.577,1,.000,20210426,127,4,6,2,5.5,CHI,2,27.8,.800,18.2,5,1087.0,2.8,.333,2,12.5,0,.333,14.3,1,0,Tomáš Satoranský,102,0,1,11.0,9.5,-6
.000,1,1,0,0,0,.000,11.8,.000,0,.000,20210426,21,3,0,0,0.0,CHI,3,66.7,0,13.9,0,595.0,0.0,.000,2,17.1,0,1.000,0.0,0,3,Denzel Valentine,110,0,1,30.3,-20.2,-3
0,0,0,0,0,0,0,0.0,0,0,0,20210426,0,2,0,0,0.0,CHI,2,0,0,0.0,0,360.0,0.0,0,0,18.8,0,0,0.0,0,0,Ryan Arcidiacono,109,0,0,33.3,-4.4,-1
0,0,0,0,0,0,0,0,0,0,0,20210426,0,0,0,0,0,CHI,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Javonte Green,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20210426,0,0,0,0,0,CHI,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Al-Farouq Aminu,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20210426,0,0,0,0,0,CHI,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Cristiano Felício,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20210426,0,0,0,0,0,CHI,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Adam Mokoka,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20210426,0,0,0,0,0,CHI,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Devon Dotson,0,0,0,0,0,0
.429,14,2,1,5,2,.643,10.7,.691,9,0,20210426,136,6,23,2,5.4,MIA,4,5.7,.833,23.0,6,2213.0,2.8,.643,1,9.2,0,.000,5.4,2,1,Bam Adebayo,115,0,0,14.1,6.9,-16
