threepar,trb,trb_pct,date,team_abbr,orb_pct,ft,drb_pct,blk,efg_pct,bpm,ast,tov,blk_pct,fta,pf,drtg,ftr,sp,tov_pct,fg,threep,orb,stl_pct,ast_pct,ortg,ft_pct,fg_pct,threep_pct,pm,ts_pct,inactive,stl,usg_pct,pts,fga,threepa,player_name,starter,drb
.000,22,23.3,20210626,PHO,19.8,3,26.5,4,.571,13.1,3,3,8.9,3,4,78,.214,2476.0,16.4,8,0,9,1.3,16.1,122,1.000,.571,0,+8,.620,0,1,19.5,19,14,0,Deandre Ayton,1,13
.000,13,14.4,20210626,PHO,6.9,0,21.4,2,.500,4.2,3,1,4.7,0,3,86,.000,2361.0,14.3,3,0,3,0.0,13.4,111,0,.500,0,+3,.500,0,0,7.8,6,6,0,Mikal Bridges,1,10
.227,2,2.3,20210626,PHO,0.0,9,4.4,0,.364,-2.1,0,5,0.0,11,6,92,.500,2297.0,15.7,8,0,0,2.8,0.0,86,.818,.364,.000,+5,.466,0,2,36.5,25,22,5,Devin Booker,1,2
.136,4,4.7,20210626,PHO,0.0,6,9.0,0,.273,-2.2,7,4,0.0,7,4,92,.318,2250.0,13.8,6,0,0,1.4,38.4,80,.857,.273,.000,+3,.359,0,1,34.1,18,22,3,Chris Paul,1,4
.750,7,8.9,20210626,PHO,7.9,0,9.8,1,.188,-5.3,0,0,2.7,0,4,94,.000,2059.0,0.0,1,1,3,0.0,0.0,64,0,.125,.167,+4,.188,0,0,10.2,3,8,6,Jae Crowder,1,4
.250,2,4.4,20210626,PHO,0.0,0,8.5,1,.313,0.2,3,1,4.6,0,1,94,.000,1192.0,11.1,2,1,0,0.0,27.7,75,0,.250,.500,+4,.313,0,0,19.9,5,8,2,Cameron Payne,0,2
.750,4,10.2,20210626,PHO,5.3,0,14.8,0,.625,4.4,0,0,0.0,0,1,92,.000,1022.0,0.0,2,1,1,0.0,0.0,138,0,.500,.333,+1,.625,0,0,10.3,5,4,3,Cameron Johnson,0,3
1.000,3,19.5,20210626,PHO,13.5,0,25.1,0,1.500,16.5,0,0,0.0,0,1,86,.000,403.0,0.0,1,1,1,0.0,0.0,274,0,1.000,1.000,+1,1.500,0,0,6.5,3,1,1,Dario Šarić,0,2
.000,2,16.3,20210626,PHO,0.0,0,31.4,0,.000,-14.6,0,0,0.0,0,2,81,.000,322.0,0.0,0,0,0,0.0,0.0,0,0,.000,0,-4,.000,0,0,8.2,0,1,0,Abdel Nader,0,2
0,0,0.0,20210626,PHO,0.0,0,0.0,0,0,-69.5,0,0,0.0,0,1,80,0,18.0,0,0,0,0,0.0,0.0,0,0,0,0,-5,0,0,0,0.0,0,0,0,Torrey Craig,0,0
0,0,0,20210626,PHO,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Langston Galloway,0,0
0,0,0,20210626,PHO,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jevon Carter,0,0
0,0,0,20210626,PHO,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E'Twaun Moore,0,0
0,0,0,20210626,PHO,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jalen Smith,0,0
0,0,0,20210626,PHO,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Frank Kaminsky,0,0
.450,16,16.7,20210626,LAC,0.0,12,34.7,0,.275,6.8,6,2,0.0,18,6,81,.900,2508.0,6.7,5,1,0,1.3,32.4,92,.667,.250,.111,-5,.412,0,1,32.1,23,20,9,Paul George,1,16
.375,5,5.4,20210626,LAC,0.0,2,11.2,0,.375,-1.9,1,4,0.0,2,1,94,.083,2427.0,13.9,8,2,0,1.3,6.8,74,1.000,.333,.222,-1,.402,0,1,32.0,20,24,9,Reggie Jackson,1,5
.000,14,15.4,20210626,LAC,14.9,3,16.0,0,.625,3.5,1,3,0.0,4,2,92,.500,2374.0,23.5,5,0,7,1.4,5.8,115,.750,.625,0,-3,.666,0,1,14.5,13,8,0,Ivica Zubac,1,7
.250,4,5.1,20210626,LAC,7.4,0,2.6,0,.250,-3.7,2,0,0.0,0,4,102,.000,2053.0,0.0,1,0,3,0.0,11.0,96,0,.250,.000,-9,.250,0,0,5.2,2,4,1,Patrick Beverley,1,1
.375,0,0.0,20210626,LAC,0.0,0,0.0,2,.250,-0.8,2,0,6.6,0,2,100,.000,1331.0,0.0,2,0,0,0.0,19.1,66,0,.250,.000,-10,.250,0,0,16.2,4,8,3,Marcus Morris,1,0
.222,4,5.3,20210626,LAC,5.1,3,5.5,0,.500,1.5,0,1,0.0,5,4,97,.556,1987.0,8.2,4,1,2,1.6,0.0,107,.600,.444,.500,+1,.536,0,1,16.5,12,9,2,Terance Mann,0,2
.667,6,16.3,20210626,LAC,5.2,0,28.2,0,.250,0.0,1,0,0.0,0,0,88,.000,963.0,0.0,1,1,1,0.0,12.5,70,0,.167,.250,+3,.250,0,0,16.8,3,6,4,Nicolas Batum,0,5
.750,2,7.0,20210626,LAC,13.4,0,0.0,0,.250,-5.0,0,0,0.0,1,0,104,.250,753.0,0.0,1,0,2,0.0,0.0,68,.000,.250,.000,+5,.225,0,0,15.9,2,4,3,Luke Kennard,0,0
0,0,0.0,20210626,LAC,0.0,1,0.0,0,0,314.9,0,0,0.0,2,0,104,0,4.0,0.0,0,0,0,0.0,0.0,122,.500,0,0,-1,.568,0,0,100.0,1,0,0,DeMarcus Cousins,0,0
0,0,0,20210626,LAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Patrick Patterson,0,0
0,0,0,20210626,LAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amir Coffey,0,0
0,0,0,20210626,LAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yogi Ferrell,0,0
0,0,0,20210626,LAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Daniel Oturu,0,0
0,0,0,20210626,LAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jay Scrubb,0,0
0,0,0,20210626,LAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rajon Rondo,0,0
0,0,0,20210626,PHO,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Ty-Shon Alexander,0,0
