ftr,fga,ast,starter,ft,stl,fg_pct,ast_pct,ts_pct,fg,threep_pct,date,ortg,trb,pts,orb,blk_pct,team_abbr,drb,tov_pct,ft_pct,usg_pct,fta,sp,stl_pct,efg_pct,tov,trb_pct,threep,threepar,orb_pct,blk,pf,player_name,drtg,inactive,threepa,drb_pct,bpm,pm
.000,10,9,1,0,0,.300,32.0,.350,3,.200,20220104,97,4,7,0,0.0,SAC,4,16.7,0,15.2,0,2084.0,0.0,.350,2,6.2,1,.500,0.0,0,0,Tyrese Haliburton,128,0,5,11.1,-8.3,-10
.190,21,6,1,4,0,.571,33.5,.659,12,.500,20220104,118,3,30,0,0.0,SAC,3,14.9,1.000,35.3,4,2005.0,0.0,.619,4,4.8,2,.190,0.0,0,2,De'Aaron Fox,128,0,4,8.6,0.5,-1
.333,9,5,1,1,0,.556,22.2,.678,5,.500,20220104,146,6,14,0,0.0,SAC,6,0.0,.333,14.8,3,1844.0,0.0,.722,0,10.5,3,.667,0.0,0,3,Harrison Barnes,125,0,6,18.7,3.7,0
1.500,4,3,1,5,0,.750,13.1,.828,3,.000,20220104,129,4,11,2,0.0,SAC,2,31.1,.833,14.7,6,1739.0,0.0,.750,3,7.4,0,.250,8.5,0,6,Damian Jones,128,0,1,6.6,-5.2,-5
.167,6,1,1,0,1,.333,5.2,.311,2,.000,20220104,67,12,4,3,0.0,SAC,9,31.8,.000,17.7,1,1413.0,2.1,.333,3,27.5,0,.333,15.7,0,3,Marvin Bagley III,115,0,2,36.7,-12.2,+1
.167,18,2,0,3,1,.444,9.4,.673,8,.538,20220104,138,5,26,1,2.2,SAC,4,0.0,1.000,26.1,3,1958.0,1.5,.639,0,8.3,7,.722,3.8,1,1,Buddy Hield,123,0,13,11.8,9.7,-4
.000,9,2,0,0,0,.444,13.9,.444,4,.000,20220104,80,0,8,0,3.5,SAC,0,18.2,0,23.6,0,1230.0,0.0,.444,2,0.0,0,.222,0.0,1,0,Davion Mitchell,129,0,2,0.0,-10.6,-10
.250,4,2,0,1,0,1.000,16.4,1.014,4,0,20220104,126,8,9,3,0.0,SAC,5,40.3,1.000,18.2,1,1083.0,0.0,1.000,3,23.9,0,.000,20.5,0,2,Alex Len,122,0,0,26.6,1.7,-4
.000,2,1,0,0,0,1.000,7.4,1.250,2,1.000,20220104,137,3,5,0,4.1,SAC,3,33.3,0,7.6,0,1044.0,0.0,1.250,1,9.3,1,.500,0.0,1,1,Maurice Harkless,123,0,1,16.6,3.9,-7
0,0,0,0,0,0,0,0,0,0,0,20220104,0,0,0,0,0,SAC,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Jahmi'us Ramsey,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20220104,0,0,0,0,0,SAC,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Neemias Queta,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20220104,0,0,0,0,0,SAC,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Tristan Thompson,0,0,0,0,0,0
.267,15,4,1,2,1,.533,13.4,.716,8,.545,20220104,144,4,24,1,2.6,LAL,3,5.6,.500,20.4,4,2221.0,1.3,.733,1,5.8,6,.733,2.6,1,1,Malik Monk,117,0,11,10.0,7.8,-2
.192,26,5,1,4,0,.462,19.8,.550,12,.300,20220104,118,5,31,2,2.7,LAL,3,6.6,.800,35.2,5,2189.0,0.0,.519,2,7.4,3,.385,5.3,1,3,LeBron James,120,0,10,10.1,2.2,+3
.421,19,2,1,5,1,.368,7.3,.422,7,.000,20220104,103,7,19,2,2.9,LAL,5,0.0,.625,28.6,8,2012.0,1.5,.368,0,11.3,0,.053,5.7,1,2,Russell Westbrook,115,0,1,18.4,-6.0,+17
.000,6,3,1,0,0,.500,16.1,.583,3,.250,20220104,143,2,7,1,4.6,LAL,1,0.0,0,12.1,0,1271.0,0.0,.583,0,5.1,1,.667,4.5,1,1,Avery Bradley,120,0,4,5.8,1.5,-14
.000,1,0,1,0,0,.000,0.0,.000,0,.000,20220104,0,3,0,0,5.3,LAL,3,0.0,0,2.3,0,1102.0,0.0,.000,0,8.8,0,1.000,0.0,1,0,Trevor Ariza,116,0,1,20.1,-7.4,-8
.077,13,6,0,0,2,.692,24.2,.707,9,.500,20220104,134,4,19,1,0.0,LAL,3,13.0,.000,19.9,1,1984.0,3.0,.731,2,6.5,1,.154,2.9,0,2,Talen Horton-Tucker,115,0,2,11.2,5.4,+14
.000,1,1,0,0,0,.000,4.5,.000,0,.000,20220104,59,2,0,0,0.0,LAL,2,0.0,0,2.0,0,1299.0,0.0,.000,0,5.0,0,1.000,0.0,0,1,Austin Reaves,122,0,1,11.4,-10.9,+10
.167,12,3,0,2,2,.500,18.7,.543,6,0,20220104,143,14,14,7,0.0,LAL,7,0.0,1.000,25.4,2,1295.0,4.6,.500,0,35.0,0,.000,31.1,0,3,Dwight Howard,105,0,0,39.9,7.9,+11
.000,6,0,0,0,0,.667,0.0,.667,4,.000,20220104,135,3,8,0,0.0,LAL,3,0.0,0,14.9,0,1027.0,0.0,.667,0,9.5,0,.333,0.0,0,3,Carmelo Anthony,119,0,2,21.6,-6.7,+9
0,0,0,0,0,0,0,0,0,0,0,20220104,0,0,0,0,0,LAL,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,DeAndre Jordan,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20220104,0,0,0,0,0,LAL,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Kent Bazemore,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20220104,0,0,0,0,0,LAL,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Wayne Ellington,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20220104,0,0,0,0,0,SAC,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Terence Davis,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20220104,0,0,0,0,0,SAC,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Richaun Holmes,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20220104,0,0,0,0,0,SAC,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Louis King,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20220104,0,0,0,0,0,SAC,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Chimezie Metu,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20220104,0,0,0,0,0,SAC,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Robert Woodard II,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20220104,0,0,0,0,0,LAL,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Anthony Davis,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,20220104,0,0,0,0,0,LAL,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,Jay Huff,0,1,0,0,0,0
